CSZJJ No.,CSZJJ Title,Taisho No.,File,Summary
1137,鞞摩肅經,T 90,$nti/t0090_01.txt,"The Buddha is visited by a non-Buddhist named Vema Suku, who asserts that physical form (rupa) is the most supreme. The Buddha challenges this assertion by showing how light can outshine light, and then argues that attachment to the five senses leads to lust and desire. Vema Suku, initially angry and defiant, is eventually converted and gains insight into the Dharma. He then requests to become a monk and ultimately attains enlightenment."
1140,那賴經,T 154 (1),taisho/t0154_n01.txt,"A man became a monk, but his beautiful wife remarried, causing him to constantly think of her and lose his focus on spiritual practice, even leading him to return home. The Buddha, after hearing of this, teaches the monk about the fleeting and harmful nature of desire, contrasting it with the peace of enlightenment. He relates a past life where he, as a sage named Narayana, taught King Fangji the insatiable nature of desire, leading the king to renounce worldly pleasures and attain enlightenment. This shows that the monk's current struggle is a continuation of past patterns, and only the Buddha's teachings can liberate him from the attachments of lust."
1142,大意經,T 177,$nti/t0177_01.txt,"The Buddha recounts the story of a prince named Great Intent (大意) who, upon birth, vowed to alleviate the suffering of the world through generosity. He journeys to sea to collect treasures for distribution and encounters multiple jeweled cities, each guarded by a serpent, where he obtains luminous pearls. When a sea god steals the pearls, Great Intent's determination to retrieve them moves even the gods, leading to their return and enabling him to fulfill his vow of universal generosity."
1144,申日兜本經,T 536,$nti/t0536_01.txt,"The Buddha, residing in a kingdom where his teachings are revered, is invited to a meal by a wealthy man named Shen Ri, who is influenced by other religious practitioners to test the Buddha's omniscience by poisoning the food and setting a trap. Shen Ri's son, a believer in the Buddha, warns against this, but is ignored. However, the Buddha, aware of the plot, transforms the trap into a lotus pond and removes the poison from the food, demonstrating his power and compassion. Shen Ri, witnessing this miracle, repents, converts to Buddhism, and takes the five precepts."
1148,舅甥經,T 154 (12),taisho/t0154_n12.txt,"The Buddha tells a story of a resourceful nephew who repeatedly steals from the king's treasury with his uncle. Despite the king's elaborate traps and schemes, the nephew consistently outsmarts him to protect himself and his uncle, even after the uncle's death. Eventually, the nephew gains power in another kingdom and asks to marry the king's daughter, leading to his eventual capture and marriage due to his remarkable intelligence. The Buddha then reveals the identities of the characters in the story, connecting them to his past life and family."
1149,越難經,T 537,$nti/t0537_01.txt,"In a kingdom, a wealthy but greedy man named 越難 is reborn as a blind beggar after death as punishment for his lack of generosity. One day, while begging, he is severely beaten by his own son from his previous life, who is also greedy. Moved by the suffering, the Buddha arrives and restores the blind beggar's sight, revealing his past life and the consequences of his actions, and teaches that wealth is impermanent and should be used for good, and that not doing so leads to suffering."
1151,鸚鵡經,T 79,$nti/t0079_01.txt,"The Buddha visits the home of a man named Parrot, where he encounters Parrot's dog. After the Buddha tells the dog that he used to be a chanting Brahmin, Parrot becomes angry and confronts the Buddha. The Buddha reveals that the dog was Parrot's father in a past life and challenges Parrot to test the truth of his statement. Parrot finds hidden wealth as a result of the Buddha's challenge, gains faith, and asks about the reasons for inequalities among people, to which the Buddha explains how actions and intentions lead to different outcomes in life and rebirth."
1153,水牛王經,T 154 (30),taisho/t0154_n30.txt,"The Buddha recounts a past life as a water buffalo king who, along with his herd, endures abuse from a mischievous monkey without retaliation, showing great patience. A tree spirit questions the buffalo's forbearance. Later, the monkey's actions lead to his demise at the hands of passing ascetics. The Buddha explains that this story illustrates the consequences of both good and bad deeds, emphasizing that even as a bodhisattva, he practiced patience, which ultimately led to his enlightenment."
1155,兔王經,T 154 (31),taisho/t0154_n31.txt,"The Buddha recounts a past life as a rabbit king who, along with his community, diligently provided food for a forest-dwelling hermit, deeply respecting his spiritual practice. When the hermit announced his departure due to the winter's harshness, the rabbit king, in a display of utmost devotion, offered his own body as sustenance, throwing himself into a fire. This selfless act led to his rebirth in a heavenly realm, while the hermit, profoundly moved, also passed away and was reborn in the same realm. The Buddha then reveals that he was the rabbit king, his disciples were his former community, and the hermit was an earlier Buddha, using this story to inspire his followers to pursue enlightenment through diligent effort and detachment."
1156,拘薩羅國烏王經,T 154 (47),taisho/t0154_n47.txt,"The Buddha, while visiting Jetavana, encountered four ministers preparing for war on behalf of King Pasenadi. The ministers explained their duty to the king and their fear of the dangers ahead. The Buddha then recounted a story from the past where four crows risked their lives to fulfill the unusual request of their queen, who craved deer meat, demonstrating exceptional loyalty. The Buddha revealed that the ministers were the crows in a past life, King Pasenadi was their king, and the soldiers were the crows under his command, highlighting the themes of loyalty and service."
1157,雀王經,T 152 (51),taisho/t0152_n51.txt,"In the past, the Buddha was born as a king of sparrows and helped all living beings with a compassionate heart. Seeing a tiger suffering from a bone stuck in its teeth, the sparrow repeatedly pecked at the bone to remove it, injuring itself in the process. The sparrow then preached to the tiger about the evils of killing and the importance of compassion. The tiger, unrepentant, was angered by the sparrow's words, leading the sparrow to abandon it."
1158,孔雀經,T 154 (51),taisho/t0154_n51.txt,"The Buddha, while in the Garden of Jeta, overheard his disciples marveling at how his emergence had eclipsed other teachings. He then told a story of a land that initially revered crows until peacocks arrived, captivating everyone and causing the crows to be forgotten, much like how the Buddha's teachings outshine other doctrines. The Buddha revealed that he was the peacock in the story, Ananda was the observing god, and the crows represented the other schools of thought, emphasizing the completeness and purity of his teachings compared to others."
1159,野雞經,T 154 (6),taisho/t0154_n06.txt,"The Buddha recounts a past life where he was a wild hen and a deceitful cat attempted to seduce her with sweet words. The cat, hungry and wanting to eat the hen, tried to lure her down from the tree by promising marriage and companionship. The hen, wise and aware of the cat's true nature, rebuffed its advances with clever verses, recognizing the danger. The Buddha reveals that the cat was a past incarnation of a malicious contemporary monk, highlighting how similar their deceptive natures were across lifetimes."
1165,大魚事經,T 216,$nti/t0216_01.txt,"The Buddha recounts a story of fish: large fish warned small fish against leaving their area, but they disobeyed and were caught. This parallels a monk who, despite warnings from senior monks to control his desires, succumbed to lust after seeing beautiful women while begging for food. Consequently, he abandoned his monastic vows and returned to lay life, highlighting the dangers of unchecked desires and the importance of renouncing worldly temptations. The Buddha urges the monks to relinquish acquired gains and avoid greed for those yet to be acquired."
1169,蠱狐烏經,T 154 (25),taisho/t0154_n25.txt,"The Buddha recounts a story from the past where a crow and a fox praised each other while feeding on a discarded corpse, each exaggerating the other's virtues. A nearby sage, witnessing this, rebuked them for their insincere flattery and their consumption of unclean food. The Buddha reveals that the crow represents Kokalika, the fox represents Devadatta, and the sage represents a bodhisattva, highlighting that their current mutual admiration, despite lacking merit, mirrors their past behavior. This emphasizes the foolishness of praising those who are unworthy."
1174,犢子經,T 808,$nti/t0808_01.txt,"When the Buddha was ill and needed milk, Ananda was sent to a Brahmin household to ask for some. A fierce cow was offered, but Ananda hesitated to milk it himself. Through divine intervention and a transformed Brahmin, the milk was obtained, and the calf expressed its joy at offering its share of milk to the Buddha, seeing it as a means to enlightenment after many lifetimes of suffering due to disbelief. The Buddha then prophesied that both the cow and calf would achieve enlightenment in future lives as a result of their meritorious act."
1175,驢駝經,T 154 (50),taisho/t0154_n50.txt,"A newly ordained monk mistreated an elder monk after being prematurely granted lodging rights. The Buddha recounts a past life story of a foolish Brahman who trusted a thief, ignoring warnings from his companions, and was subsequently robbed and injured. The Buddha reveals that the Brahman was the elder monk, the thief was the newly ordained monk, the companions were the other monks, and he himself was a deva who witnessed the Brahman's misfortune. The Buddha warns against trusting those whose intentions are unclear and ignoring wise counsel."
1177,猘狗經,T 214,$nti/t0214_01.txt,"On the fifteenth day of the lunar month, the Buddha delivered precepts at Vulture Peak. This sutra is one of the teachings spoken on that day. The term ""mad dog"" refers to a rabid dog that continues barking uncontrollably even when restrained. This sutra recounts the circumstances and story involving such a mad dog, using it as a metaphor: one who receives precepts from a teacher but later slanders and speaks ill of that teacher behaves like a mad dog that turns and bites its own master."
1180,鱉獼猴經,T 154 (10),taisho/t0154_n10.txt,"The Buddha recounts a story from a past life where he was a monkey king befriended by a turtle. The turtle's wife, suspecting infidelity, feigns illness and demands the monkey's liver as a cure. The turtle tricks the monkey, revealing the plot mid-journey, but the clever monkey claims to have left his liver hanging on a tree and escapes. The Buddha reveals that the turtle's wife was a malicious nun, the turtle was Devadatta, and the monkey king was himself."
1185,鬼問目連經,T 734,$nti/t0734_01.txt,"The text describes Maudgalyayana (目連), a disciple of the Buddha, encountering various hungry ghosts (餓鬼) near a river and inquiring about the reasons for their suffering. Each ghost recounts their past misdeeds, such as mistreating others, being greedy, or harming living beings. Maudgalyayana explains that their current suffering is the karmic consequence of those actions, highlighting the principle of cause and effect. The consequences are described as ""flower rewards"" that lead to rebirth in hell."
1191,鐵城泥犁經,T 42,$nti/t0042_01.txt,"The Buddha describes observing people's deaths, some ascending to heaven and others descending into hell (Naraka) based on their actions, speech, and thoughts in life. Those who were unkind, disrespectful, and did evil deeds are judged by Yama, the king of hell, and questioned about their failings in life. Subsequently, they endure horrific tortures in various hells within an iron city, facing fire, sharp mountains, and flesh-eating insects, experiencing prolonged suffering. The text ends by saying those who do good works can avoid these hell realms."
1192,泥犁經,T 86,$nti/t0086_01.txt,"According to the Buddha, foolish individuals suffer in life due to their evil thoughts, words, and deeds, which lead to immediate consequences in the present life through physical, mental, and emotional suffering. These individuals, who indulge in harmful actions and lack faith in Buddha, Dharma, and karma, are destined to be reborn in ""Niraya"" (hell), a realm of unimaginable torment. In Niraya, beings endure horrific punishments such as being impaled, burned, dismembered, and devoured by creatures, experiencing agony beyond comprehension. The sutra emphasizes that only by abandoning evil and embracing virtuous conduct can one avoid such a dreadful fate."
1194,十八泥犁經,T 731,$nti/t0731_01.txt,"This text describes eighteen hells (泥犁) and the varying degrees of suffering experienced within them based on one's actions in life. The first eight hells are fiery, while the latter ten are cold, with punishments including being burned, crushed, and frozen for unimaginable lengths of time. The length of stay and severity of suffering in each hell depends on the severity of one's evil deeds, but knowing and practicing the Buddha's teachings can lessen the suffering or even lead to rebirth in a higher realm. Ultimately, the text emphasizes the importance of virtuous behavior and understanding the Buddha's path to avoid these hellish realms and attain a better existence."
1195,四泥犁經,T 139,$nti/t0139_01.txt,"The Buddha described four great hells to the monks, each named after an individual: Tishya, Gopaali, Devadatta, and Maskarin. Each of these figures, due to their negative actions such as causing discord, slandering the virtuous, attempting to harm the Buddha, and leading others astray, experiences immense suffering with flames engulfing them, unable to be extinguished even by vast amounts of water. The severity of their suffering is directly proportional to the gravity of their misdeeds, serving as a cautionary tale for the monks. Hearing this, the monks were delighted and committed to practicing diligently."
1200,罪業報應教化地獄經,T 724,$nti/t0724_01.txt,"The Buddha, residing in Vulture Peak Mountain, was asked by the Bodhisattva Sinxiang about the diverse conditions of beings in hell, as hungry ghosts, as animals, and as humans in various states. The Buddha responded by describing specific karmic causes for suffering in these realms, attributing them to actions such as disbelief in the Triple Gem, lack of filial piety, harming living beings, theft, and other unethical behaviors. He then taught that escaping these sufferings requires practicing filial piety, respect for teachers, taking refuge in the Triple Gem, diligently practicing generosity, upholding the precepts, patience, diligence, meditation, wisdom, compassion, and equanimity towards all beings. The teaching of the Buddha led to enlightenment and liberation for many present."
1208,鹽王五天使者經,T 43,$nti/t0043_01.txt,"The Buddha recounts observing beings' karmic destinies with divine vision, noting how good deeds lead to favorable rebirths, while evil actions result in suffering in hell. The Buddha describes how those who lacked filial piety, respect for teachers, and moral conduct during their lives are judged by King Yama, the ruler of the underworld. Yama presents five ""angel messengers""—infancy, old age, sickness, death, and punishments—as reminders of life's realities that the deceased ignored while alive, emphasizing that their suffering is a consequence of their own actions and choices. The deceased are then punished accordingly for the bad deeds they had committed in life."
1210,數經,T 70,$nti/t0070_01.txt,"The Buddha is approached by a Brahmin named Accountant who asks about the sequential nature of learning within the Buddha's teachings. The Buddha explains the progressive path of practice in his law, starting with purifying conduct and guarding the senses. He illustrates this with the analogy of someone who knows the way to a city but not everyone follows it correctly, showing that even with clear instructions, individual effort and adherence are crucial for reaching the desired goal. The Brahmin is impressed and takes refuge in the Buddha, the Dharma, and the Sangha, becoming a lay follower."
1211,時經,T 794a,$nti/t0794a_01.txt,"The Buddha, while in the Jetavana Grove in Rajagriha, instructed the monks on the proper times and improper times for certain activities, dividing the year into months and specifying auspicious and inauspicious periods within each month based on numerical calculations of ""feet"" and ""fingers"". He emphasized the importance of understanding these times for the benefit and liberation of all beings, encouraging the monks to practice diligently and avoid negligence. The monks rejoiced in this teaching, recognizing that good deeds lead to positive outcomes, while neglecting the proper conditions leads to suffering."
1213,意經,T 827,$nti/t0082_01.txt,"The Buddha is residing in Jeta Grove in Sravasti when a monk, contemplating the causes of worldly attachment and suffering, seeks guidance. The Buddha explains that the mind is the cause of attachment, suffering, and subsequent cycles of existence, and that a liberated disciple (Arhat) can control their mind. Further dialogue clarifies what constitutes a learned monk, a monk with quick wisdom, and a monk with clever and swift understanding, emphasizing truthful knowledge of suffering and acting with compassion to benefit others."
1217,罵意經,T 732,$nti/t0732_01.txt,"This text discusses various Buddhist concepts related to karma, moral conduct, and the path to enlightenment. It outlines the consequences of both good and bad deeds, emphasizing the importance of ethical behavior and mental discipline. It also describes different realms of existence and the factors that influence rebirth. Ultimately, the text guides practitioners towards detachment from worldly desires and the cultivation of wisdom to break free from the cycle of suffering and achieve liberation."
1223,法觀經,T 611,$nti/t0611_01.txt,"This text discusses the practice of meditation and the importance of mindfulness, particularly focusing on observing the breath and contemplating the impermanence of the body. It emphasizes the need to control the body, speech, and mind to achieve a state of meditative stillness and overcome desires. By diligently practicing these techniques, one can understand the nature of suffering, the illusion of the self, and ultimately attain enlightenment by recognizing the emptiness of all things. The text also explores contemplating the body's impurities and decay to detach from worldly attachments and seek liberation."
1224,身觀經,T 612,$nti/t0612_01.txt,"This text is a Buddhist discourse on the impermanence and impurity of the human body. It emphasizes the body's fragility, filled with unpleasant substances and prone to disease and decay, contrasting it with the delusion of pleasure and attachment. The teaching urges practitioners to contemplate the body's true nature to overcome desires and attachments, recognizing that all worldly possessions and pleasures are fleeting and ultimately unsatisfying in the face of death. Ultimately, the text suggests that one should focus on cultivating virtue and wisdom, understanding the body's inherent limitations."
1227,伏婬經,T 65,$nti/t0065_01.txt,"The Buddha, while in Jetavana, was asked by Anathapindika about the types of ways to subdue or control money. The Buddha describes ten ways people handle wealth, ranging from acquiring it through unlawful means and not using it for good, to acquiring it lawfully and using it for personal benefit, charitable giving, or both. The best way involves lawful acquisition, benefiting oneself and others, and detachment from the wealth with the understanding that it is transient. The Buddha emphasizes that the wise person acts with knowledge and contentment, using resources without greed."
1228,離睡經,T 47,$nti/t0047_01.txt,"The Buddha finds Maudgalyayana sleeping while meditating and advises him on methods to overcome sleepiness, including reciting scriptures, washing with cold water, paying attention to surroundings, and lying down mindfully. He further cautions Maudgalyayana against seeking worldly validation or engaging in arguments, and emphasizes the importance of solitude, meditation, and mindful eating. The Buddha concludes by explaining how a monk can achieve complete purity by observing the impermanent nature of pain and detaching from worldly attachments."
1229,應法經,T 83,$nti/t0083_01.txt,"The Buddha taught the monks about the nature of the world, where people often indulge in sensual pleasures, leading to the decline of good and the increase of evil. He described four types of actions: those that bring pleasure now but suffering later, those that bring suffering now but pleasure later, those that bring suffering now and later, and those that bring pleasure now and later. The wise discern these consequences and choose actions that lead to the decrease of evil and the increase of good, ultimately leading to enlightenment and Nirvana."
1230,樂想經,T 56,$nti/t0056_01.txt,"The Buddha taught that those who cling to the elements (earth, water, fire, wind) or states of being (heavens, Brahma heavens) as ""self"" are ignorant. True understanding comes from not delighting in these elements or states, nor identifying them as ""self."" Furthermore, enlightened beings transcend the cycle of birth and death by understanding and not clinging to these concepts as ""self."" Ultimately, the Buddha emphasizes detaching oneself from these attachments to achieve true knowledge and liberation."
1231,尊上經,T 77,$nti/t0077_01.txt,"The Buddha is residing in the Jeta Grove when a monk named Luo-ye Qiang-qi is visited by a radiant celestial being who recites a verse about not dwelling on the past or future, but is unable to explain its meaning. The celestial being directs Luo-ye Qiang-qi to the Buddha to learn the verse's true significance. Luo-ye Qiang-qi travels to the Buddha, recounts his encounter, and asks the Buddha to explain the verse for the benefit of all monks. The Buddha then elucidates the verse, explaining how to avoid attachment to the past, future, and present."
1234,柔軟經,T 26 (117),taisho/t0026_n117.txt,"The Buddha recounts his life of extreme luxury before his renunciation, detailing the palaces, gardens, and servants dedicated to his pleasure. He recalls an experience of observing farmers and meditating under a Jambu tree, attaining the first Jhana, and contemplating the universality of sickness, aging, and death. He reflects on how foolish it is to scorn these conditions in others when one is also subject to them, emphasizing the importance of recognizing and accepting these truths. He concludes that those who are ignorant are arrogant and attached to desire and fail to walk the path of Brahmacharya."
1237,處處經,T 730,$nti/t0730_01.txt,"This text, attributed to the Buddha, discusses various aspects of Buddhist practice, including controlling anger, the significance of offerings, and the qualities leading to fearlessness. It also delves into the reasons behind the Buddha's actions and physical attributes, such as why he didn't wear shoes or fly. The text further explores the differences between Arhats, Pratyekabuddhas, and Buddhas, and the importance of mindfulness, detachment, and ethical conduct for achieving enlightenment."
1238,閑居經,T 154 (13),taisho/t0154_n13.txt,"The Buddha, while traveling with a large group of monks, arrives at a town where a respected Brahmin elder hears of his presence and seeks him out. The Brahmin asks the Buddha who is worthy of offerings and respect. The Buddha explains that those who are not attached to sensory pleasures and worldly desires are worthy of reverence, while those still seeking such things are not. The Brahmin affirms this and declares his faith in the Buddha, his teachings, and his monastic community, becoming a lay follower."
1239,何苦經,T 26 (148),taisho/t0026_n148.txt,"The Buddha is visited by a Brahmin who asks about the hardships and happiness of laypeople and those who have left the household life to follow the path. The Buddha explains that laypeople suffer from a lack of freedom when they are unable to prosper, while renunciates suffer from the freedom to indulge in negative emotions. Conversely, laypeople find happiness in the freedom to prosper, while renunciates find happiness in the discipline of restraining negative impulses. The Buddha further advises that harmony between humans and the heavens brings prosperity and that one should view bad company like a waning moon and good company like a waxing moon."
1241,貧窮經,T 26 (125),taisho/t0026_n125.txt,"The Buddha addresses monks, highlighting the great suffering caused by poverty, debt, accruing interest, and being pursued and ultimately seized by creditors. He explains that even with material wealth, a person lacking faith, morality, learning, generosity, and wisdom is truly impoverished in the context of sacred law. The text draws parallels between these worldly hardships and the suffering caused by unwholesome actions and thoughts, ultimately leading to rebirth in lower realms. The Buddha concludes by contrasting this with the liberation attained through faith, virtue, and the practice of meditation, leading to a state of peace and freedom from suffering."
1242,求欲經,T 49,$nti/t0049_01.txt,"The Buddha explains to Śāriputra that people can be categorized based on whether they have desires and whether they are aware of those desires. Those who have desires but are unaware of them, or those who lack desires but are unaware of that lack, are considered the worst. Conversely, those who have desires and are aware of them, or those who lack desires and are aware of that lack, are considered the best. The discourse further elaborates on how desires can lead to negative actions and suffering, while their absence, coupled with awareness, promotes positive actions and well-being, using analogies such as dirty and clean bowls."
1243,分別經,T 738,$nti/t0738_01.txt,"The Buddha explains the causes of suffering and how people are deceived by their senses and worldly desires, leading to negative consequences and rebirth in lower realms. He outlines different ways people engage with Buddhism, distinguishing between those who are truly devoted, those who are influenced by worldly desires, and those who follow the path correctly. The text also warns of a future decline in Buddhist practice, characterized by corruption and a focus on material gain rather than spiritual development, emphasizing the importance of upholding precepts and seeking enlightenment. It concludes by highlighting the difficulties of attaining human birth and encountering Buddhist teachings, stressing the need for diligence in practice and adherence to the principles of morality and compassion."
1246,慢法經,T 739,$nti/t0739_01.txt,"The text explains why some people who follow Buddhism become wealthy while others experience misfortune. It states that true followers find enlightened teachers, uphold Buddhist precepts, and dedicate themselves to practice, thus earning protection and prosperity. Conversely, those who lack faith, disrespect the teachings and scriptures, engage in harmful actions, and seek help from other deities will suffer misfortune and negative consequences. The misfortunes are not caused by the Buddha but are a result of their own negative actions and lack of genuine faith."
1247,邪見經,T 93,$nti/t0093_01.txt,"Shortly after the Buddha's passing, Venerable Ananda is visited by a former associate who questions him about the Buddha's teachings on rejecting wrong views. The man specifically asks if the Buddha dismissed views about the permanence and limits of the world, the relationship between body and soul, and the afterlife. Ananda confirms that the Buddha, possessing wisdom and insight, did indeed reject these wrong views because they lead to specific consequences and a particular kind of rebirth. Impressed, the man declares his refuge in the Buddha, the Dharma, and the Sangha, becoming a lay follower."
1251,積骨經,T 150A (30),taisho/t0150a_n30.txt,"The Buddha, speaking to monks, explains that the bones collected from even a single lifetime's worth of deaths could equal the size of a mountain. Even those who have lived through hundreds or thousands of lifetimes have yet to achieve enlightenment. The Buddha urges the monks to eradicate the root cause of suffering and attachment to the world. By eliminating this fundamental evil, they can escape the cycle of birth and death and attain Nirvana."
1252,苦陰經,T 53,$nti/t0053_01.txt,"The Buddha, residing in Jetavana, was approached by monks discussing challenges posed by those of different doctrines. These individuals claimed their understanding of sensual pleasure (lust) and form (physical appearance) was equal to the Buddha's. The Buddha then explained the allure, corruption, and means of abandonment concerning sensual pleasure, form, and feelings (pain), emphasizing that true understanding leads to liberation from suffering. He explained the impermanence and potential for suffering of sensual pleasure and form, and described the value of the four levels of meditation."
1254,灌臘經,T 391,$nti/t0391_01.txt,"The Buddha, while in Jetavana Vihara, explains the purpose of ""pouring wax"" (灌臘) ceremonies held on the 8th day of the 4th month and the 15th day of the 7th month to Ananda. These ceremonies are for generating merit, either for oneself to escape worldly suffering or to liberate deceased relatives trapped in unfortunate realms. The Buddha warns against promising donations for these ceremonies and then failing to deliver, outlining dire consequences. Finally, the Buddha instructs that the offerings should be distributed amongst the monastic community or, in their absence, given to the poor."
1255,受歲經,T 50,$nti/t0050_01.txt,"The Buddha, while at the Bamboo Garden, instructs the monks to guide and support new members, particularly those with good qualities who are receptive to teaching. He contrasts those who are difficult to teach, driven by negative qualities like greed and anger, with those who are open and virtuous. Monks should examine themselves, striving to cultivate positive attributes like gratitude and avoid harmful behaviors. Just as one uses a mirror to see and remove impurities from the face, monks should reflect on their actions to purify themselves and achieve enlightenment."
1257,腹使經,T 154 (28),taisho/t0154_n28.txt,"During a time of famine, the Buddha stayed in a country where the rice was expensive and people were starving. Ananda convinced the king to provide food and medicine to the Buddha and his monks for three months. The Buddha then recounted a past life where Ananda, as a poor man, cleverly persuaded a king to provide him with food during a similar famine, highlighting Ananda's consistent ability to find compassionate solutions in times of need. The Buddha encouraged his monks to learn from Ananda's skillful and kind communication."
1260,持齋經,T 26 (202),taisho/t0026_n202.txt,"The text recounts a dialogue where the Buddha explains the different types of fasting to a laywoman. He distinguishes between inferior types of fasting, like those of herdsmen or non-Buddhists, and the superior ""Noble Eightfold Fast,"" which involves abstaining from killing, stealing, unchastity, lying, intoxicants, luxurious beds, entertainment, and untimely eating. Furthermore, practitioners of the Noble Eightfold Fast should cultivate mindfulness of the Buddha, the Dharma, the Sangha, their own moral conduct, and the virtues of the devas. The Buddha emphasizes the immense benefits of the Noble Eightfold Fast, which far outweigh worldly riches and lead to rebirth in higher realms."
1261,盂蘭經,T 685,$nti/t0685_01.txt,"The text describes a scene where Maudgalyayana, a disciple of the Buddha, uses his supernatural powers to discover his deceased mother suffering in the realm of hungry ghosts. Unable to help her alone, the Buddha instructs him to make offerings to the monastic community on the fifteenth day of the seventh month, a practice called the Ullambana, to liberate not only his mother but also ancestors from suffering. This act of offering and seeking blessings from the monastic community can bring benefits to both living and deceased parents and relatives, granting them happiness and freedom from hardship. The Buddha encourages all disciples to follow this practice as an act of filial piety and to remember their parents with gratitude."
1265,恒水戒經,T 33,$nti/t0033_01.txt,"The Buddha, surrounded by disciples and a large assembly, arrives at the Ganges River. During a discourse, the Buddha explains the difficulty of obtaining human form, encountering the Buddha's teachings, entering the Buddhist path, and upholding its precepts. He emphasizes the importance of adhering to the precepts, comparing the consequences of violating them to various unpleasant analogies, and highlights that the Buddha Dharma does not increase or decrease with followers. The Buddha stresses the rarity and importance of the sutras and states that he will not discourse on them anymore."
1266,寂志果經,T 22,$nti/t0022_01.txt,"King Ajatasattu of Magadha, troubled by persistent unease, seeks advice from his court on how to alleviate his worries. After several suggestions, the physician Jivaka suggests visiting the Buddha, which the king agrees to. The king consults the Buddha on whether worldly pursuits and offerings lead to enlightenment, revealing his previous unsuccessful inquiries with other teachers who offered nihilistic or confusing answers. The Buddha then elucidates the path to enlightenment through virtuous living, ethical conduct, meditation, and the relinquishment of worldly attachments, and conversion of the king."
1273,戒消災經,T 1477,$nti/t1477_01.txt,"A man traveling abroad breaks his vow to abstain from alcohol and is banished by his parents. He finds refuge in another country, where the host worships three powerful but malevolent spirits. Through the traveler's adherence to the remaining four of the five precepts of Buddhism, the spirits are driven away, and the host is inspired to take refuge in the Buddha. The duo later encounters 498 people, and they all return to the Buddha and become enlightened."
1277,法滅盡經,T 396,$nti/t0396_01.txt,"The Buddha, nearing his Nirvana, foretells the decline of Buddhist Dharma. He describes an era characterized by moral decay, selfish monks, and a lack of genuine practice, with women being more devoted than men. Natural disasters and shortened lifespans will occur as the Dharma fades, with scriptures disappearing and monastic robes turning white. Eventually, Maitreya will appear and restore peace and prosperity to the world after a long period of decline."
1286,是我所經,T 154 (5),taisho/t0154_n05.txt,"The Buddha recounts the story of a wealthy but miserly man who hoarded his vast fortune, neglecting his family, and failing to make charitable donations. This man's behavior is compared to a bird in a past life who jealously guarded medicinal fruits, only to have them taken away by others. The Buddha emphasizes that such attachment to wealth is futile because upon death, one cannot take their possessions with them. Instead, the Buddha advises his disciples to cultivate virtue, practice generosity, and purify their minds to prepare for the afterlife, unlike the man who will face regret at the end of his life."
1287,阿耨風經,T 58,$nti/t0058_01.txt,"The Buddha, after bathing with Ananda, discusses the fate of Devadatta, stating he is destined for hell due to the complete absence of any redeeming qualities. He then proceeds to explain the characteristics of different types of individuals based on their potential for good or evil, focusing on how their thoughts and actions lead to either increasing virtue or increasing vice. The discourse outlines six types of people, categorizing them based on whether their good or bad qualities will increase, decrease, or lead to ultimate liberation."
1293,惟日雜難經,T 760,$nti/t0760_01.txt,"This text discusses the practices and intentions of Bodhisattvas, contrasting them with those of Arhats. It outlines the different stages and paths towards enlightenment, highlighting the importance of compassion, wisdom, and skillful means for Bodhisattvas aiming to liberate all beings. It emphasizes that Bodhisattvas delay their own liberation to help others and cultivate virtues like giving, morality, and patience to attain Buddhahood. Certain obstacles and beneficial practices for achieving enlightenment are identified, alongside characteristics that distinguish Bodhisattvas from those seeking individual liberation."
1298,內身觀章經,T 610,$nti/t0610_01.txt,"The text explores the impermanence and ultimately unsatisfactory nature of the physical body, describing it as a collection of impermanent parts and processes, prone to decay and suffering. It emphasizes that clinging to the body as ""self"" is a source of delusion and that true wisdom lies in recognizing its inherent emptiness. The text also identifies eleven conditions that hinder enlightenment, advising practitioners to avoid them in order to progress on the path to liberation."
1299,忠心政行經,T 743,$nti/t0743_01.txt,"The Buddha tells a group of monks, bodhisattvas, and other followers about five internal ""thieves"" and five external deceptions that lead people to evil paths. He emphasizes the importance of focusing the mind, understanding the cycle of suffering (twelve causes and conditions), and practicing mindfulness to escape the cycle of rebirth. The Buddha instructs them to contemplate their bodies, sensations, thoughts, and laws, and to cultivate compassion towards all beings, ultimately achieving enlightenment and liberation from suffering."
1301,罪業報應經,T 747a,$nti/t0747a_01.txt,"The Buddha, while at a large tree, explains to Ananda the relationship between one's actions and their resulting rewards or punishments in future lives. Virtuous deeds like generosity, upholding precepts, and practicing patience lead to positive outcomes such as wealth, longevity, and beauty, while negative actions like anger, stealing, and harming others result in suffering and undesirable rebirths. The Buddha emphasizes the importance of personal effort in accumulating merit and cautions against laziness, highlighting that good and bad deeds inevitably follow a person like a shadow. He concludes by stating that understanding this cycle of cause and effect leads to enlightenment and liberation from suffering."
1304,摩訶剎頭經,T 696,$nti/t0696_01.txt,"According to the Buddha, all Buddhas are born, renounce worldly life, achieve enlightenment, and reach nirvana on the eighth day of the fourth month. This day is auspicious because it is a time of renewal and harmony, free from harsh weather and rampant disease. People should commemorate the Buddha's virtues by bathing Buddha images, which is believed to bring immense blessings and fulfill various desires, from spiritual enlightenment to worldly prosperity and long life."
