bib_id,abbreviation,authors,title,type,ref,file,num_pages
baums2023phonology,Baums. “Phonology.”,Baums,The Phonology of Greek Names in Kharoṣṭhī Script,book section,"Baums, Stefan. “The Phonology of Greek Names in Kharoṣṭhī Script.” In *Look at the Coins! Papers in Honour of Joe Cribb on His 75th Birthday*, edited by Helen Wang and Robert Bracey, 115–18. Oxford: Archaeopress Archaeology, 2023. https://stefanbaums.com/publications/baums_2023_2.pdf.",baums2023phonology.pdf,4
baums2024commentary,Baums. “Saṃgītisūtra Commentary.”,Baums,The Four Origins of Beings in the Gāndhārī Saṃgītisūtra Commentary,book section,"Baums, Stefan. “The Four Origins of Beings in the Gāndhārī Saṃgītisūtra Commentary.” In *Siddham: Studies in Iranian Philology in Honour of Mauro Maggi*, edited by Gerardo Barbera, Matteo De Chiara, and Alessandro Del Tomba, 19–28. Wiesbaden: Dr. Ludwig Reichert Verlag, 2024. https://stefanbaums.com/publications/baums_2024_2.pdf.",baums2024commentary.pdf,10
baums2024whatever,Baums. “Whatever Happened”,Baums,"Whatever Happened to Gāndhārī? Prakrit, Sanskrit, and the ‘Gāndhārī Orthography.",book section,"Baums, Stefan. “Whatever Happened to Gāndhārī? Prakrit, Sanskrit, and the ‘Gāndhārī Orthography.’” In *Suhṛdayasaṃhitā: A Compendium of Studies on South Asian Culture, Philosophy, and Religion Dedicated to Dominik Wujastyk,* edited by Philipp A. Maas and Anthony Cerulli, 7–18. Halle an der Saale: Universitätsverlag Halle-Wittenberg, 2024. https://stefanbaums.com/publications/baums_2024_1.pdf.",baums2024whatever.pdf,12
baums_etal2016bodhisattva,"Baums, et al. “Bodhisattvapiṭakasūtra in Gāndhārī.”","Baums, Braarvig, Lenz, Liland, Matsuda, and Salomon",The Bodhisattvapiṭakasūtra in Gāndhārī,book section,"Baums, Stefan, Jens Braarvig, Timothy J Lenz, Fredrik Liland, Kazunobu Matsuda, and Richard Salomon. “The Bodhisattvapiṭakasūtra in Gāndhārī.” In *Buddhist Manuscripts*, edited by Jens Braarvig, IV:267–82. Manuscripts in the Schøyen Collection. Oslo: Hermes Publishing, 2016. https://stefanbaums.com/publications/baums_braarvig_lenz_liland_matsuda_salomon_2016.pdf.",baums_etal2016bodhisattva.pdf,15
baums_glass_matsuda_2016,"Baums, Glass, and Matsuda. “Bhadrakalpikasūtra.” ","Baums, Glass, and Matsuda",Fragments of a Gāndhārī Version of the Bhadrakalpikasūtra.,book section,"Baums, Stefan, Andrew Glass, and Kazunobu Matsuda. “Fragments of a Gāndhārī Version of the Bhadrakalpikasūtra.” In *Buddhist Manuscripts*, edited by Jens Braarvig, IV:183–266. Manuscripts in the Schøyen Collection. Oslo: Hermes Publishing, 2016. https://stefanbaums.com/publications/baums_glass_matsuda_2016.pdf.",baums_glass_matsuda_2016.pdf,83
baums_etal2016andhradesa,"Baums, Griffiths, Strauch, and Tournier. “Āndhradeśa.”","Baums, Griffiths, Strauch, and Tournier",Early Inscriptions of Āndhradeśa: Results of Fieldwork in January and February 2016.,article,"Baums, Stefan, Arlo Griffiths, Ingo Strauch, and Vincent Tournier. “Early Inscriptions of Āndhradeśa: Results of Fieldwork in January and February 2016.” *Bulletin de l’Ecole Francaise d’Extreme-Orient* 102 (2016): 355–98. https://shs.hal.science/halshs-01761838/document .",baums_etal2016andhradesa.pdf,43
beckwith2009,Beckwith. *Empires.*,Beckwith,Empires of the Silk Road: A History of Central Eurasia from the Bronze Age to the Present,book,"Beckwith, Christopher I. *Empires of the Silk Road: A History of Central Eurasia from the Bronze Age to the Present.* Princeton University Press, 2009. https://www.degruyter.com/document/doi/10.1515/9781400829941 .
",,
beckwith2017greek,Beckwith. *Greek Buddha.*,Beckwith,Greek Buddha: Pyrrho’s Encounter with Early Buddhism in Central Asia,book,"Beckwith, Christopher I. *Greek Buddha: Pyrrho’s Encounter with Early Buddhism in Central Asia.* Princeton University Press, 2017. https://www.google.com/books/edition/Greek_Buddha/53GYDwAAQBAJ.",,
behrendt2007,Behrendt. *Art of Gandhara.*,Behrendt,The Art of Gandhara in the Metropolitan Museum of Art,book,"Behrendt, Kurt A. *The Art of Gandhara in the Metropolitan Museum of Art.* New York: Metropolitan Museum of Art, 2007. https://www.metmuseum.org/met-publications/the-art-of-gandhara-in-the-metropolitan-museum-of-art.",,
benjamin2007,Benjamin. *The Yuezhi.*,Benjamin,"The Yuezhi: Origin, Migration and the Conquest of Northern Bactria",book,"Benjamin, Craig G. R. *The Yuezhi: Origin, Migration and the Conquest of Northern Bactria.* Silk Road Studies, XIV. Turnhout: Brepols, 2007. https://www.google.com/books/edition/The_Yuezhi/VT1uAAAAMAAJ.",,
drewes2010,Drewes. “Mahāyāna Buddhism I”,Drewes,Early Indian Mahāyāna Buddhism I: Recent Scholarship,article,"Drewes, David. “Early Indian Mahāyāna Buddhism I: Recent Scholarship.” *Religion Compass* 4, no. 2 (2010): 55–65. https://www.academia.edu/download/35500600/Drewes-_Early_Mahayana_I_rev._ed.pdf.",drewes2010.pdf,10
drewes2021,Drewes. “Becoming a Bodhisattva.”,Drewes,The Problem of Becoming a Bodhisattva and the Emergence of Mahāyāna,article,"Drewes, David. “The Problem of Becoming a Bodhisattva and the Emergence of Mahāyāna.” *History of Religions* 61, no. 2 (2021): 145–72. https://www.academia.edu/download/79532840/Drewes_Bodhisattva.pdf.",drewes2021.pdf,27
drewes2021sutras,Drewes. “Mahāyāna Sūtras.”,Drewes,Mahāyāna Sūtras in Recent Scholarship,article,"Drewes, David. “Mahāyāna Sūtras in Recent Scholarship.” *Canadian Journal of Buddhist Studies* 16 (2021): 36–74. https://www.academia.edu/download/68383608/Mahayana_Sutras_in_Recent_Scholarship_CJ.pdf . ",drewes2021sutras.pdf,38
salomon2003senior,Salomon. “Senior Manuscripts.”,Salomon,The Senior Manuscripts: Another Collection of Gandharan Buddhist Scrolls,article,"Salomon, Richard. “The Senior Manuscripts: Another Collection of Gandharan Buddhist Scrolls.” *Journal of the American Oriental Society*, 2003, 73–92. https://www.jstor.org/stable/3217845.",salomon2003senior.pdf,20
mcmahan2013,McMahan. *Empty Vision.*,McMahan,Empty Vision: Metaphor and Visionary Imagery in Mahayana Buddhism,book,"McMahan, David. *Empty Vision: Metaphor and Visionary Imagery in Mahayana Buddhism.* Routledge, 2013.",,
nattier2000aksobhya,Nattier. “Akṣobhya.”,Natier,The Realm of Akṣobhya: A Missing Piece in the History of Pure Land Buddhism,article,"Nattier, Jan. “The Realm of Akṣobhya: A Missing Piece in the History of Pure Land Buddhism.” *Journal of the International Association of Buddhist Studies*, 2000, 71–102. https://journals.ub.uni-heidelberg.de/index.php/jiabs/article/download/9167/3026.",nattier2000aksobhya.pdf,31
nattier2003goodmen,Nattier. *A Few Good Men*,Natier,A Few Good Men: The Bodhisattva Path According to the Inquiry of Ugra (Ugraparipṛcchā),book,"Nattier, Jan. *A Few Good Men: The Bodhisattva Path According to the Inquiry of Ugra (Ugraparipṛcchā)*. Studies in the Buddhist Traditions. Honolulu: University of Hawai’i Press, 2003. https://www.google.com/books/edition/A_Few_Good_Men/kl9RXSmfeZ0C.
",,
norman1997philological,Norman. *Philological Approach.*,Norman,A Philological Approach to Buddhism: The Bukkyō Dendō KyōKai Lectures 1994,book,"Norman, Kenneth R. *A Philological Approach to Buddhism: The Bukkyō Dendō KyōKai Lectures 1994.* The Buddhist Forum, V. London: School of Oriental and African Studies, University of London, 1997. https://www.shin-ibs.edu/research/archived-publications-and-research-projects/the-buddhist-forum/the-buddhist-forum-volume-v/.",,
allon_salomon2010mahayana,Allon and Salomon. “Evidence for Mahayana.”,Allon and Salomon,New Evidence for Mahayana in Early Gandhāra,article,"Allon, Mark, and Richard Salomon. “New Evidence for Mahayana in Early Gandhāra.” *The Eastern Buddhist* 41, no. 1 (2010): 1–22. https://otani.repo.nii.ac.jp/record/8089/files/EB41-1_OCR_03.pdf.
",allon_salomon2010mahayana.pdf,22
sato2004aksobhya,Sato. “Cult of Aksobhya.”,Sato,Some Aspects of the Cult of Aksobhya in Mahayana Scriptures,article,"Sato, Naomi. “Some Aspects of the Cult of Aksobhya in Mahayana Scriptures.” *Journal of Indian and Buddhist Studies (Indogaku Bukkyogaku Kenkyu)* 52, no. 2 (2004): 937–932. https://www.jstage.jst.go.jp/article/ibk1952/52/2/52_2_937/_pdf.",sato2004aksobhya.pdf,6
fogelin2015,Fogelin. *Archaeological History.*,Fogelin,An Archaeological History of Indian Buddhism,book,"Fogelin, Lars. *An Archaeological History of Indian Buddhism*. Oxford ; New York: Oxford University Press, 2015. https://www.google.com/books/edition/An_Archaeological_History_of_Indian_Budd/yPZzBgAAQBAJ.",,
schopen1987amitabha,Schopen. “Kuṣān Image of Amitābha.”,Schopen,The Inscription on the Kuṣān Image of Amitābha and the Charakter of the Early Mahāyāna in India,article,"Schopen, Gregory. “The Inscription on the Kuṣān Image of Amitābha and the Charakter of the Early Mahāyāna in India.” Journal of the International Association of Buddhist Studies, 1987, 99–137. https://journals.ub.uni-heidelberg.de/index.php/jiabs/article/download/8722/2629 .",schopen1987amitabha.pdf,38
schopen1999bones,Schopen. “Bones of a Buddha”,Schopen,The Bones of a Buddha and the Business of a Monk: Conservative Monastic Values in an Early Mahāyāna Polemical Tract,article,"Schopen, Gregory. “The Bones of a Buddha and the Business of a Monk: Conservative Monastic Values in an Early Mahāyāna Polemical Tract.” *Journal of Indian Philosophy* 27, no. 4 (1999): 279–324. https://www.jstor.org/stable/23496375 .",schopen1999bones.pdf,45
schopen2000lookingglass,Schopen. “Chinese Looking-Glass.”,Schopen,The Mahāyāna and the Middle Period in Indian Buddhism: Through a Chinese Looking-Glass,article,"Schopen, Gregory. “The Mahāyāna and the Middle Period in Indian Buddhism: Through a Chinese Looking-Glass.” The Eastern Buddhist 32, no. 2 (2000): 1–25. https://otani.repo.nii.ac.jp/record/8449/files/EB32-2-03.pdf.",schopen2000lookingglass.pdf,25
williams2008mahayana,Williams. *Mahayana Buddhism.*,Williams,Mahayana Buddhism: The Doctrinal Foundations,book,"Williams, Paul. *Mahayana Buddhism: The Doctrinal Foundations.* 2nd ed. Florence: Taylor and Francis, 2008. https://www.google.com/books/edition/Mahayana_Buddhism/Z3FuzkBnOxAC.",,
bergman1939archaeological,Bergman. *Archaeological Researches in Sinkiang.*,Bergman,Archaeological Researches in Sinkiang: Especially the Lop‐Nor Region,book,"Bergman, Folke. *Archaeological Researches in Sinkiang: Especially the Lop‐Nor Region.* Reports from the Scientific Expedition to the North‐Western Provinces of China under the Leadership of Dr. Sven Hedin: The Sino‐Swedish Expedition 7. Stockholm: Bokförlags Aktiebolaget Thule, 1939. https://archive.org/details/ArchaeologicalResearchesInSinkiang1939/mode/2up.
",ArchaeologicalResearchesInSinkiang_text.pdf,251
bergny1900coins,Bergny. “Brāhmī-Kharoṣṭhī Inscriptions.”,Bergny,Notes on Some Brāhmī-Kharoṣṭhī Inscriptions on Indian Coins,article,"Bergny, AV. “Notes on Some Brāhmī-Kharoṣṭhī Inscriptions on Indian Coins.” *Journal of the Royal Asiatic Society* 32, no. 3 (1900): 409–21.",bergny1900coins.pdf,12
bernard1994greek,Bernard. “Greek Kingdoms.”,Bernard,The Greek Kingdoms of Central Asia,book section,"Bernard, Paul. “The Greek Kingdoms of Central Asia.” In *History of Civilizations of Central Asia, Volume II: The Development of Sedentary and Nomadic Civilizations: 700 B.C. to A.D. 250,* edited by János Harmatta, 2:99–129. Paris: UNESCO Publishing, 1994. https://zh.unesco.org/silkroad/sites/default/files/knowledge-bank-article/vol_II%20silk%20road_the%20greek%20kingdoms%20of%20central%20asia.pdf.",bernard1994greek.pdf,30
khan2015paintings,Khan. “Gandhāran Buddhist Paintings”,Khan,Gandhāran Buddhist Paintings and Sculptures Antiquities from Yakatoot-Peshawar,article,"Khan, Muhammad NASIM. “Gandhāran Buddhist Paintings and Sculptures Antiquities from Yakatoot-Peshawar.” *Gandharan Studies* 9 (2015): 37–86.",khan2015paintings.pdf,49
khan2002seals,Khan. “Lajjā Gaurī Seals.”,Khan,"Lajjā Gaurī Seals and Related Antiquities from Kashmir Smast, Gandhāra",article,"Khan, Nasim M. “Lajjā Gaurī Seals and Related Antiquities from Kashmir Smast, Gandhāra.” *South Asian Studies* 18, no. 1 (2002): 83–90. https://www.tandfonline.com/doi/pdf/10.1080/02666030.2002.9628611 .",khan2002seals.pdf,8
khan2011heads,Khan. “Terracotta Heads.”,Khan,Terracotta Heads From Ancient Gandhara,article,"Khan, Muhammad Nasim. “Terracotta Heads From Ancient Gandhara.” *Ancient Pakistan* 22 (2011): 99–110. http://ojs.uop.edu.pk/ancientpakistan/article/view/95 ",khan2011heads.pdf,15
chanda1920taxila,Chanda. “Taxila Inscription.”,Chanda,Taxila Inscription of the Year 136,article,"Chanda, Ramaprasad. “Taxila Inscription of the Year 136.” *Journal of the Royal Asiatic Society* 52, no. 3 (1920): 319–24. https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/taxila-inscription-of-the-year-136/4A8EFF051BF1F76AC5C5CA6D943AF3FA ",chanda1920taxila.pdf,5
bhattacharya2010pelling,Bhattacharya. “Spelling?”,Bhattacharya,How to Justify the Spelling of the Buddhist Hybrid Sanskrit Term Bodhisatva?,book section,"Bhattacharya, Gouriswar. “How to Justify the Spelling of the Buddhist Hybrid Sanskrit Term Bodhisatva?” In *From Turfan to Ajanta: Festschrift for Dieter Schlingloff on the Occasion of His Eightieth Birthday,* edited by Eli Franco and Monika Zin, 35–49. Lumbini International Research Institute, 2010. https://www.academia.edu/download/37310640/Bhattacharya_2010_FS-Schlingloff_Bodhisatva.pdf.",bhattacharya2010pelling.pdf,14
bivar1970hariti,Bivar. “Hariti.”,Bivar,Hariti and the Chronology of the Kusanas,article,"Bivar, ADH. “Hariti and the Chronology of the Kusanas.” *Bulletin of the School of Oriental and African Studies* 33, no. 1 (1970): 10–21. https://www.academia.edu/download/32668134/56380583-Hariti-and-the-Chronology-of-the-Kusanas-Bivar.pdf.",bivar1970hariti.pdf,11
bivar1970menander,Bivar. “Menander.”,Bivar,The Sequence of Menander’s Drachmae,article,"Bivar, Adrian David Hugh. “The Sequence of Menander’s Drachmae.” *Journal of the Royal Asiatic Society* 102, no. 2 (1970): 123–36. https://www.cambridge.org/core/services/aop-cambridge-core/content/view/06FC0C46C00A5F86017E0250C41443FF/S0035869X00128291a.pdf/sequence_of_menanders_drachmae.pdf .",bivar1970menander.pdf,13
bivar1976trilingual,Bivar. “Kuṣāṇa Trilingual.”,Bivar,The Kuṣāṇa Trilingual,article,"Bivar, Adrian DH. “The Kuṣāṇa Trilingual.” *Bulletin of the School of Oriental and African Studies* 39, no. 2 (1976): 333–40. https://www.jstor.org/stable/616798 .",bivar1976trilingual.pdf,8
bonmann2023decipherment,"Bonmann, et. al. “Partial Decipherment.”",Bonmann,A Partial Decipherment of the Unknown Kushan Script,article,"Bonmann, Svenja, Jakob Halfmann, Natalie Korobzow, and Bobomullo Bobomulloev. “A Partial Decipherment of the Unknown Kushan Script.” *Transactions of the Philological Society* 121, no. 2 (2023): 293–329. https://onlinelibrary.wiley.com/doi/10.1111/1467-968X.12269 .",bonmann2023decipherment.pdf,36
azizipoor2020indo_parthian,Azizipoor. “Indo-Parthian Kingdom.”,Azizipoor,An Analysis on the Political History of Indo-Parthian Kingdom,article,"Azizipoor, Tahere. “An Analysis on the Political History of Indo-Parthian Kingdom.” *Journal of Archaeological Studies* 12, no. 2 (2020): 187–203. https://jarcs.ut.ac.ir/article_77342_35d218e2ed4defb4464b6d2d8c4cd776.pdf ",azizipoor2020indo_parthian.pdf,16
boucher1991pratītya,Boucher. “Pratītyasamutpādagātha.”,Boucher,The Pratītyasamutpādagātha and Its Role in the Medieval Cult of the Relics,article,"Boucher, Daniel. “The Pratītyasamutpādagātha and Its Role in the Medieval Cult of the Relics.” *Journal of the International Association of Buddhist Studies*, 1991, 1–27. https://journals.ub.uni-heidelberg.de/index.php/jiabs/article/download/8778/2685 .",boucher1991pratītya.pdf,27
boucher2001history,Boucher. “History Of the Rāṣṭrapālaparipṛcchā.”,Boucher,The Textual History Of the Rāṣṭrapālaparipṛcchā: Note On Its Third-Century Chinese Translation,book section,"Boucher, Daniel. “The Textual History Of the Rāṣṭrapālaparipṛcchā: Note On Its Third-Century Chinese Translation.” In 創価大学国際仏教学高等研究所年報= *Annual Report of the International Research Institute for Advanced Buddhology at Soka University*= ソウカ ダイガク コクサイ ブッキョウガク コウトウ ケンキュウジョ ネンポウ, 4:93–116. Japan: Sōka daigaku kokusai bukkyōgaku kōtō kenkyūjo nenpō 創価大学・国際仏教学高等研究所, 2001. https://buddhism.lib.ntu.edu.tw/en/search/search_detail.jsp?seq=580565.",boucher2001history.pdf,23
boucher2000hu_fan,Boucher. “Hu and Fan.”,Boucher,"On Hu and Fan Again: The Transmission of"" Barbarian"" Manuscripts to China",article,"Boucher, Daniel. “On Hu and Fan Again: The Transmission of"" Barbarian"" Manuscripts to China.” *Journal of the International Association of Buddhist Studies*, 2000, 7–28. https://journals.ub.uni-heidelberg.de/index.php/jiabs/article/download/9163/3022 .",boucher2000hu_fan.pdf,22
braarvig2000schoyen,Braarvig. *Schøyen Collection*,Braarvig,Buddhist Manuscripts in the Schøyen Collection,book,"Braarvig, Jens, ed. *Buddhist Manuscripts in the Schøyen Collection*: Volume I. Oslo: Hermes Publishing, 2000.",,
boucher2006harmaraksa,Boucher. “Dharmarakṣa.”,Boucher,Dharmarakṣa and the Transmission of Buddhism to China,article,"Boucher, Daniel. “Dharmarakṣa and the Transmission of Buddhism to China.” *Asia Major*, 2006, 13–37. http://www2.ihp.sinica.edu.tw/file/1435wgjyYxe.pdf .",boucher2006harmaraksa.pdf,24
boucher2008forest,Boucher. *Forest.*,Boucher,Bodhisattvas of the Forest and the Formation of the Mahāyāna: A Study and Translation of the Rāṣṭrapālaparipr̥cchā-Sūtra,book,"Boucher, Daniel. *Bodhisattvas of the Forest and the Formation of the Mahāyāna: A Study and Translation of the Rāṣṭrapālaparipr̥cchā-Sūtra.* Honolulu: University of Hawai’i Press, 2008. https://www.google.com/books/edition/Bodhisattvas_of_the_Forest_and_the_Forma/H44BEAAAQBAJ.",,
fussman_quagliotti2012,Fussman and Quagliotti. *Iconography of Avalokiteśvara*.,Fussman and Quagliotti,The Early Iconography of Avalokiteśvara,book,"Fussman, Gérard, and Anna-Maria Quagliotti. *The Early Iconography of Avalokiteśvara*. Publications de l’Institut de Civilisation Indienne, fasc. 80. Paris: Collège de France diff. de Boccard, 2012. https://www.google.com/books/edition/The_Early_Iconography_of_Avalokite%C5%9Bvara/9b5g3e3ZZgMC.",,
boyer1920kharisthi,"Boyer, Rapson, Senart, and Noble. *Kharoṣṭhī Inscriptions.*","Boyer, Rapson, Senart, and  Noble",Kharoṣṭhī Inscriptions Discovered by Sir Aurel Stein in Chinese Turkestan: Part 1 Text of Inscriptions Discovered at the Niya Site 1901,book,"Boyer, A M, E J Rapson, E Senart, and P S Noble. *Kharoṣṭhī Inscriptions Discovered by Sir Aurel Stein in Chinese Turkestan: Part 1 Text of Inscriptions Discovered at the Niya Site 1901.* Clarendon Press, 1920. https://www.google.com/books/edition/Kharo%E1%B9%A3%E1%B9%ADh%C4%AB_inscriptions_discovered_b/oR8LAQAAMAAJ.",Kharoṣṭhī_inscriptions_discovered_b,300
braarvig2002schoyen2,"Braarvig *Schøyen Collection, Volume II*",Braarvig,"Buddhist Manuscripts in the Schøyen Collection, Volume II. Manuscripts in the Schøyen Collection, III",book,"Braarvig, Jens, ed. *Buddhist Manuscripts in the Schøyen Collection, Volume II. Manuscripts in the Schøyen Collection, III*. Oslo: Hermes Publishing, 2002.",,
matsuda2014japanese,Matsuda. “Japanese Collections.”,Matsuda,Japanese Collections of Buddhist Manuscript Fragments from the Same Region as the Schøyen Collection,paper,"Matsuda, Kazunobu. “Japanese Collections of Buddhist Manuscript Fragments from the Same Region as the Schøyen Collection.” In *From Birch Bark to Digital Data: Recent Advances in Buddhist Manuscript Research,* edited by Paul Harrison and Jens-Uwe Hartmann, 165–69. Verlag der Österreichischen Akademie der Wissenschaften, 2013. https://www.austriaca.at/?arp=0x00314ca5.",matsuda2013japanese.pdf,5
braavig2016manuscripts4,Braarvig. *Buddhist Manuscripts IV.*,Braavig,"Buddhist Manuscripts, Volume IV",book,"Braarvig, Jens. *Buddhist Manuscripts, Volume IV.* Manuscripts in the Schøyen Collection. Oslo: Hermes Publishing, 2016.
",,
bracey2017elestial,Bracey. “Celestial Lady’s Age?”,Bracey,Is It Appropriate to Ask a Celestial Lady’s Age?,paper,"Bracey, Robert. “Is It Appropriate to Ask a Celestial Lady’s Age?” In *Problems of Chronology in Gandhāran Art: Proceedings of the First International Workshop of the Gandhāra Connections Project,* University of Oxford, 23rd-24th March, 2017, 135-147. Archaeopress Publishing Ltd, 2018. https://www.academia.edu/download/56058690/Final_eversion_Problems_of_Chronology_in_Gandharan_Art.pdf#page=143.",bracey2017elestial.pdf,12
brancaccio2022art,Brancaccio. “Art and Performance.”,Brancaccio,Art and Performance in the Buddhist Visual Narratives at Bhārhut,article,"Brancaccio, Pia. “Art and Performance in the Buddhist Visual Narratives at Bhārhut.” *Journal of Indian Philosophy* 50, no. 4 (2022): 671–88. https://www.academia.edu/download/88308839/Brancaccio_Bharhut_JIP.pdf .",brancaccio2022art.pdf,17
brodie2004circumstances,Brodie. “Circumstances.”,Brodie,The Circumstances and Consequences of the British Library’s 1994 Acquisition of Some Kharosthi Manuscript Fragments,article,"Brodie, Neil. “The Circumstances and Consequences of the British Library’s 1994 Acquisition of Some Kharosthi Manuscript Fragments.” *Culture Without Context: The Newsletter of the Near Eastern Project of the Illicit Antiquities Research Centre* 17 (2004): 5–12. https://traffickingculture.org/app/uploads/2012/08/Brodie-2005-British-Library.pdf .",brodie2004circumstances.pdf,8
brodie2009illegal_trade,Brodie. “Illegal Trade.”,Brodie,Brodie. “Illegal Trade.”,article,"Brodie, Neil. “Consensual Relations? Academic Involvement in the Illegal Trade in Ancient Manuscripts.” *Criminology and Archaeology: Studies in Looted Antiquities,* 2009, 41–58. https://www.academia.edu/download/37150061/Brodie_2009_Consensual_relations.pdf .",brodie2009illegal_trade.pdf,17
bronkhorst2006empires,Bronkhorst. “Empires.”,Bronkhorst,Systematic Philosophy between the Empires: Some Determining Features,book section,"Bronkhorst, Johannes. “Systematic Philosophy between the Empires: Some Determining Features.” *Between the Empires: Society in India* 300 BCE to 400 CE, 2006, 287–313. https://serval.unil.ch/resource/serval:BIB_800BEA24FAA2.P001/REF.pdf .",bronkhorst2006empires.pdf,26
bronkhorst2010pread,Bronkhorst. “Spread of Sanskrit.”,Bronkhorst,The Spread of Sanskrit,book section,"Bronkhorst, Johannes. “The Spread of Sanskrit.” *From Turfan to Ajanta. Festschrift for Dieter Schlingloff on the Occasion of His Eightieth Birthday* 1 (2010): 117–39. https://www.academia.edu/download/31119860/BIB_60D95FCF75F4.pdf .",bronkhorst2010pread.pdf,22
bronkhorst2011shadow,Bronkhorst. *Shadow.*,Bronkhorst,Buddhism in the Shadow of Brahmanism,book,"Bronkhorst, Johannes. *Buddhism in the Shadow of Brahmanism.* Vol. 2. 24. Brill, 2011. https://serval.unil.ch/resource/serval:BIB_0AE49B543099.P001/REF.pdf.",bronkhorst2011hadow.pdf,260
bronkhorst2016brahmins,Bronkhorst. *Brahmins*,Bronkhorst,How the Brahmins Won: From Alexander to the Guptas,book,"Bronkhorst, Johannes. *How the Brahmins Won: From Alexander to the Guptas.* Vol. 30. Brill, 2016. http://sanjeev.sabhlokcity.com/Misc/Howthebrahminswon.pdf.",bronkhorst2016brahmins.pdf,384
bronkhorst2016abhidharma,Bronkhorst. “Abhidharma.”,Bronkhorst,Abhidharma and Indian Thinking,book section,"Bronkhorst, Johannes. “Abhidharma and Indian Thinking.” In *Text, History, and Philosophy,* 29–46. Brill, 2016. https://serval.unil.ch/resource/serval:BIB_DB3F34E041D7.P001/REF.pdf.",bronkhorst2016abhidharma.pdf,17
brough1961inscription,Brough. “Kharoṣṭhī Inscription.”,Brough,A Kharoṣṭhī Inscription from China,article,"Brough, John. “A Kharoṣṭhī Inscription from China.” *Bulletin of the School of Oriental and African Studies* 24, no. 3 (1961): 517–30. https://www.jstor.org/stable/609762 .",brough1961inscription.pdf,13
brough1965shanshan,Brough. “Shan-Shan.”,Brough,Comments on Third-Century Shan-Shan and the History of Buddhism,article,"Brough, John. “Comments on Third-Century Shan-Shan and the History of Buddhism.” *Bulletin of the School of Oriental and African Studies* 28, no. 3 (1965): 582–612. https://www.jstor.org/stable/612100 .",brough1965shanshan.pdf,30
zurcher1990han,Zürcher. “Han Buddhism.”,Zürcher,Han Buddhism and the Western Region,book section,"Zürcher, Erik. “Han Buddhism and the Western Region.” In *Thought and Law in Qin and Han China,* edited by Wilt Idema and Erik Zürcher, 158–82. Brill, 1990. https://brill.com/display/book/edcoll/9789004482852/B9789004482852_s013.xml.",,
brough1970shanshan,Brough. “Shan-Shan.”,Brough,Supplementary Notes on Third-Century Shan-Shan,article,"Brough, John. “Supplementary Notes on Third-Century Shan-Shan.” *Bulletin of the School of Oriental and African Studies* 33, no. 1 (1970): 39–45. https://www.jstor.org/stable/613319 .",brough1970shanshan.pdf,6
brough1973iching,Brough. “I-Ching.”,Brough,I-Ching on the Sanskrit Grammarians,article,"Brough, John. “I-Ching on the Sanskrit Grammarians.” *Bulletin of the School of Oriental and African Studies* 36, no. 2 (1973): 248–60. https://www.jstor.org/stable/613501 .",brough1973iching.pdf,12
brough1975etymological,Brough. “Etymological Notes.”,Brough,Buddhist Chinese Etymological Notes,article,"Brough, John. “Buddhist Chinese Etymological Notes.” *Bulletin of the School of Oriental and African Studies* 38, no. 3 (1975): 581–85. https://www.jstor.org/stable/613709 .",brough1975etymological.pdf,5
brough1977arapacana,Brough. “Arapacana Syllabary.”,Brough,The Arapacana Syllabary in the Old Lalita-Vistara,article,"Brough, John. “The Arapacana Syllabary in the Old Lalita-Vistara.” *Bulletin of the School of Oriental and African Studies* 40, no. 1 (1977): 85–95. https://www.jstor.org/stable/615824 .",brough1977arapacana.pdf,11
brough2021collected,Brough. *Collected Papers.*,Brough,Collected Papers,book,"Brough, John. *Collected Papers.* Edited by Minoru Hara and J. C. Wright. First edition. London: Routledge, 2021. https://www.google.com/books/edition/Collected_Papers/1w1tzgEACAAJ.",,
brown1922coins,Brown. *Coins of India.*,Brown,The Coins of India,book,"Brown, Cecil Jermyn. *The Coins of India.* Calcutta: Association Press, 1922. https://www.google.com/books/edition/The_Coins_of_India/4B5LAAAAMAAJ.",The_Coins_of_India.pdf,110
brown1984miracles,Brown. “Miracles.”,Brown,The Śrāvastī Miracles in the Art of India and Dvāravatī,article,"Brown, Robert L. “The Śrāvastī Miracles in the Art of India and Dvāravatī.” Archives of Asian Art 37 (1984): 79–95. https://www.jstor.org/stable/20111145 .",brown1984miracles.pdf,16
bruneau2011ladakh,Bruneau. “Ladakh.”,Bruneau,Influence of the Indian Cultural Area in Ladakh in the 1st Millennium AD: The Rock Inscriptions Evidence,article,"Bruneau, Laurianne. “Influence of the Indian Cultural Area in Ladakh in the 1st Millennium AD: The Rock Inscriptions Evidence.” Puratattva. *Journal of the Indian Archaeological Society* 41 (2011): 179–90. https://shs.hal.science/halshs-00747732/document .",bruneau2011ladakh.pdf,11
buhler1891pedestal,Bühler “Pedestal.”,Bühler,The Date of the Græco-Buddhist Pedestal from Hashtnagar,article,"Bühler, G. “The Date of the Græco-Buddhist Pedestal from Hashtnagar.” *The Indian Antiquary* 20 (1891): 394. https://babel.hathitrust.org/cgi/pt?id=coo.31924079325597&seq=420 .",buhler1891pedestal.pdf,1
