term,term_introduced_by,valid_terminology,hanyu_pinyin,translation_type,english_equivalent,sanskrit_equivalent,old_chinese,later_han,middle_chinese,notes,document_frequency,error,validation
無所依,An Shigao,True,wú suǒ yī,Semantic,unsupported; without basis; unattached; unreliant,nirālamba,?,?,?,"A key Buddhist concept referring to the state of being without any support, basis, or attachment. It signifies a mind that does not rely on or cling to anything, often associated with ultimate reality or the non-abiding nature of the mind.",9,,
病,An Shigao,True,bìng,Semantic,"sickness, illness, disease, ailment",vyādhi,?,?,?,"While a common term for 'sickness' or 'illness', '病' is frequently used in Buddhist texts to refer to physical and mental suffering, often considered one of the forms of duḥkha (suffering). The Buddha is sometimes referred to as the 'Great Physician' (大醫王) who diagnoses the 'sickness' of sentient beings and prescribes the 'Dharma medicine'.",18,,
弊惡法,An Shigao,False,Bì è fǎ,Generic phrase,Corrupt/evil practices; harmful/bad laws/dharma,,,,,"This term literally means 'corrupt/evil Dharma/laws/practices'. While 'evil' (惡) and 'Dharma/phenomenon' (法) are fundamental concepts in Buddhism, the compound '弊惡法' does not appear as a specific, recognized Buddhist technical term, idiom, or doctrine in standard Buddhist lexicons. It is a descriptive, generic phrase.",3,,
遍淨,An Shigao,True,biàn jìng,Semantic,all-pure; pervading purity; Śubhakṛtsna heaven,śubhakṛtsna,?,?,?,"This term refers to both a state of complete purity and one of the Brahma heavens, specifically the third of the three dhyāna heavens, where the mind of meditation reaches a state of pervasive purity.",15,,
不思想,An Shigao,False,bù sīxiǎng,Generic phrase,not thinking; no thought,,,,,"While 'not thinking' or 'non-thought' is a significant concept in Buddhism (e.g., related to *asaṃjñā* 無想 or *acitta* 無心), '不思想' is a general Chinese phrase meaning ""not thinking"" and is not a standard, established technical term in Buddhist canon like 無念 (wúniàn, no-mind) or 無想 (wúxiǎng, non-perception).",2,,
刀杖,An Shigao,True,dāozhàng,Semantic,knives and staves; weapons,daṇḍa-śastra,?,?,?,"Refers to instruments of violence (knives, swords, staffs, cudgels) and is frequently mentioned in Vinaya texts regarding prohibitions for monastics, who are forbidden to carry or use such items to inflict harm. It is a common term found in discussions of the precept against violence.",4,,
諦慧,An Shigao,True,dì huì,Semantic,wisdom of truth,satyajñāna,,,,"This term refers to the wisdom that discerns or comprehends the truth, particularly in the context of Buddhist teachings. It often specifically denotes the wisdom that understands the Four Noble Truths (四諦).",2,,
鬪諍,An Shigao,True,dòuzhēng,Semantic,strife; contention; dispute; quarrel,kalaha; vivāda,,,,"Refers to quarrels, disputes, or conflicts, often associated with defilements (klesha) or the degenerate age (mappō, 末法) where such contentions are prevalent. It signifies the state of conflict and disagreement among sentient beings.",22,,
慧,An Shigao,True,huì,Semantic,wisdom,prajñā,?,?,?,"慧 (huì) is a fundamental Buddhist term meaning 'wisdom,' 'intelligence,' or 'discernment.' It is commonly used to translate the Sanskrit term prajñā (般若), which refers to transcendent wisdom or an intuitive understanding of reality, particularly emptiness (śūnyatā). It can also correspond to mati (intellect, understanding) or buddhi (intellect, understanding, wisdom). In the context of the Three Learnings (三學), it represents wisdom (慧) alongside precepts (戒) and meditative concentration (定).",263,,
結使,An Shigao,True,jié shǐ,Semantic,Fetters and latent defilements; afflictions,saṃyojanānuśaya,,,,"The term '結使' (jié shǐ) combines '結' (jié), meaning fetters or bonds (Skt. saṃyojana), and '使' (shǐ), meaning latent defilements or evil proclivities (Skt. anuśaya). Together, they refer to the various mental defilements or afflictions (Skt. kleśa) that bind beings to cyclic existence. It broadly encompasses the fundamental impurities of mind that hinder spiritual progress.",172,,
盡法,An Shigao,True,jìnfǎ,Semantic,To exhaust the Dharma; to thoroughly understand the Dharma; to comprehend all phenomena,,,,,"Refers to the complete understanding of the Dharma, encompassing all phenomena. Less commonly, it can refer to the completion or end of the Dharma age.",9,,
兩舌,An Shigao,True,liǎngshé,Semantic,divisive speech; double-tongued speech; slander,piśunā vācā; paiśunya,?,?,?,"One of the ten evil deeds (daśa akuśalakarmāṇi), referring to speech that causes discord and division among people by speaking ill of others or creating animosity.",140,,
惱,An Shigao,True,nǎo,Semantic,vexation; distress; affliction,vyāpāda,?,?,?,"A fundamental term in Buddhism referring to mental suffering, distress, or affliction, often associated with defilements (kleśa) and a cause of duḥkha (suffering). It can also translate saṃtāpa (anguish, torment) or krodha (anger).",29,,
悲,An Shigao,True,bēi,Semantic,compassion; sorrow; pity,karuṇā,*prə (Baxter-Sagart),*pi (Schuessler),pjie (Baxter-Sagart),"A fundamental Buddhist concept, often paired with 慈 (cí, maitrī, loving-kindness) as one of the Four Immeasurables (Brahmavihāras). It denotes the aspiration to free all beings from suffering, particularly the suffering of others.",136,,
求,An Shigao,False,qiú,Generic phrase,"to seek, to ask for, to request",icchati,?,?,?,"A common Chinese verb meaning ""to seek"" or ""to request,"" frequently used in Buddhist contexts (e.g., seeking enlightenment, requesting teachings) but not a specialized Buddhist technical term itself.",7,,
識慧,An Shigao,True,shí huì,Semantic,discriminating wisdom; knowledge and wisdom,vijñānaprajñā,,,,"識慧 refers to the combination of 'consciousness' or 'discernment' (識, vijñāna) and 'wisdom' (慧, prajñā). It often denotes the wisdom attained through discriminating consciousness, sometimes contrasted with more fundamental, non-discriminating wisdom. It emphasizes the aspect of understanding or discerning knowledge alongside wisdom.",2,,
身,An Shigao,True,shēn,Semantic,"body, self, person, form, aggregate, kāya",kāya,?,?,?,"A fundamental term in Buddhist philosophy, it primarily refers to the physical body or form (rūpa-skandha), but can also denote the 'self', a person, or a collection/aggregate. It is a key component in concepts like the Five Aggregates (五蘊, pañca-skandhā) where it represents the aggregate of form, and the Three Bodies of a Buddha (三身, tri-kāya).",56,,
受行,An Shigao,True,shòuxíng,Semantic,to receive and practice; to accept and carry out; to observe (precepts),pratigrahaṇa-caryā,,,,This term refers to the act of receiving and putting into practice Buddhist teachings or precepts. It implies not just passive acceptance but active adherence and observance.,4,,
世間,An Shigao,True,shìjiān,Semantic,"the world, worldly existence, saṃsāra","loka, lokaloka",,,,"A fundamental Buddhist term referring to the conventional world, worldly existence, or the realm of saṃsāra, often contrasted with '出世間' (chūshìjiān, lokottara) meaning 'supramundane' or 'beyond the world'.",154,,
思想,An Shigao,False,sīxiǎng,Generic phrase,"thought, idea, thinking, ideology",,,,,"A general Chinese term for 'thought' or 'idea', not a specific technical Buddhist term. While mental processes are central to Buddhist teachings, '思想' itself is used in a broad, non-technical sense rather than as a specific terminology with a unique Buddhist meaning.",50,,
微妙,An Shigao,True,wēimiào,Semantic,"subtle, profound, wonderful, exquisite","sūkṣma, praṇīta",,,,"A fundamental descriptive term in Buddhism, used to qualify the Dharma, truth, wisdom, etc., as being profound, delicate, and difficult to grasp fully. It emphasizes the subtle and excellent nature of spiritual realities, often implying a beauty or profundity that transcends ordinary understanding.",18,,
聞如是,An Shigao,True,wén rú shì,Semantic,Thus have I heard,evaṃ mayā śrutam,,,,"This is the standard opening phrase found in almost all Buddhist sūtras, indicating that the text records what was 'thus heard' by Ānanda from the Buddha. It serves as a statement of authenticity and direct transmission of the Buddha's teachings.",184,,
賢者,An Shigao,True,xiánzhě,Semantic,"worthy one, virtuous person, sage","ārya, paṇḍita",,,,"A term referring to a person of wisdom, virtue, or high moral standing, often used to address or describe disciples who are advanced in their practice but not yet fully enlightened. It can be an honorific for monastics.",82,,
行道,An Shigao,True,xíngdào,Semantic,to practice the Way; to perform a religious service,mārga-caryā,?,?,?,"The term '行道' (xíngdào) primarily refers to the practice of the Buddhist path or teachings, often leading to enlightenment. It can also denote the performance of a religious service, ceremony, or ritual.",58,,
一時,An Shigao,True,yī shí,Semantic,"at one time, once, on one occasion",ekasmin samaye,?,?,?,"This term commonly appears at the beginning of Buddhist sutras to indicate the time when a discourse took place, often translated as 'thus have I heard, at one time...' (如是我聞，一時...). It signifies a specific, yet often unstated, occasion.",37,,
憂,An Shigao,True,yōu,Semantic,"worry, anxiety, grief, distress",śoka,?,?,?,"憂 is a fundamental term in Buddhist philosophy, representing mental suffering, grief, and anxiety. It often translates Sanskrit terms like śoka (grief), dāurmanasya (mental distress), and cintā (worry), and also refers to the mental aspect of duḥkha (suffering).",26,,
欲貪,An Shigao,True,yù tān,Semantic,sensual desire; desire and greed; lust and covetousness,kāma-tṛṣṇā,?,?,?,"A fundamental Buddhist term referring to desire for sensual pleasures and the attachment or greed associated with them, often considered a defilement. It is a compound of 'desire' (欲, kāma) and 'greed/craving' (貪, tṛṣṇā/rāga).",19,,
自歸,An Shigao,True,zìguī,Semantic,to take refuge in oneself; self-reliance,ātma-śaraṇa,,,,"This term emphasizes self-reliance and internal refuge, famously articulated in the Mahāparinirvāṇa Sūtra as 'be a lamp unto yourselves, be a refuge to yourselves' (自燈明，自歸依). It is distinct from taking refuge in the Three Jewels (歸依三寶), focusing instead on one's own capacity for awakening.",58,,
道法,An Shigao,True,dàofǎ,Semantic,the way of the Dharma; Buddhist principles/teachings,dharmamārga,?,?,?,"Refers to the principles and practices of the Buddhist Dharma, encompassing the path to enlightenment and the methods for cultivating wisdom and compassion.",60,,
黠,An Shigao,False,xiá,Partial term,"clever, astute, cunning, sly",,?,?,?,"The character '黠' generally means ""clever, astute, cunning, or sly."" It is not typically considered a specific Buddhist technical term or concept.",8,,
覺,An Shigao,True,jué,Semantic,awakening; enlightenment; perception; awareness,bodhi,?,?,?,"The character '覺' is fundamental in Buddhist terminology, serving as the root for concepts like 'bodhi' (enlightenment) and 'buddha' (awakened one). It signifies the act of perceiving, understanding, and realizing the true nature of reality, leading to liberation.",158,,
苦諦,An Shigao,True,kǔdì,Semantic,Truth of Suffering,duḥkha-satya,?,?,?,"苦諦 (kǔdì) is the first of the Four Noble Truths (四聖諦, caturārya-satya). It states that all existence is suffering (duḥkha). The term combines 苦 (kǔ), meaning 'suffering' or 'dukkha', and 諦 (dì), meaning 'truth' or 'satya'.",135,,
習諦,An Shigao,True,xí dì,Semantic,Truth of the origin of suffering; Truth of accumulation; Truth of the cause of suffering,samudaya-satya,?,?,?,"The second of the Four Noble Truths (cattāri ariya-saccāni), which identifies the origin of suffering as craving (tṛṣṇā).",43,,
盡諦,An Shigao,False,jìn dì,Generic phrase,ultimate truth; complete truth,,,,,"While '盡' (exhaustion, completeness) and '諦' (truth) are core Buddhist concepts, the compound '盡諦' does not appear to be a standard, established Buddhist technical term in major glossaries or textual databases. It is more likely a descriptive phrase, potentially meaning 'ultimate truth' or 'complete truth,' or 'the truth of ultimate cessation,' rather than a fixed term like '真諦' (paramārtha-satya).",40,,
結,An Shigao,True,jié,Semantic,"Fetter, bond",saṃyojana,,,,"In Buddhist terminology, '結' primarily refers to a 'fetter' or 'bond' (saṃyojana) that ties sentient beings to cyclic existence (saṃsāra). It denotes defilements, attachments, or karmic ties that prevent liberation. Key examples include the 'ten fetters' (十結, daśa saṃyojanāni) and the 'three fetters' (三結, trīṇi saṃyojanāni).",173,,
三十七品經,An Shigao,True,Sānshíqī Pǐnjīng,Semantic,Sūtra of the Thirty-seven Factors of Awakening; Sūtra of the Thirty-seven Aids to Enlightenment,Bodhipākṣikadharmasūtra,?,?,?,"This term refers to a sūtra that teaches the thirty-seven bodhipākṣika dharmas (factors or aids to awakening), which are fundamental practices in Buddhism for achieving enlightenment. The thirty-seven factors are traditionally divided into seven groups: four foundations of mindfulness (smṛtyupasthāna), four right exertions (samyakprahāṇa), four bases of supernatural powers (ṛddhipāda), five faculties (indriya), five powers (bala), seven factors of awakening (bodhyaṅga), and eightfold noble path (āryāṣṭāṅgamārga).",9,,
行,An Shigao,True,xíng,Semantic,formations; volitional formations; actions; conduct; practice,saṃskāra; karman,?,?,?,"In Buddhism, 'xíng' (行) primarily refers to 'saṃskāra' (volitional formations or impulses), which is one of the Five Skandhas (五蘊), representing mental activities that lead to future existences. It also denotes 'karman' (actions) or 'conduct' in a broader sense, as well as 'practice' (as in 修行 xiūxíng). It is also one of the Twelve Nidānas (十二因緣).",284,,
意,An Shigao,True,yì,Semantic,"Mind, thought, intention, consciousness (manas)",manas,?,?,?,"In Buddhist psychology, 意 (yì) primarily translates the Sanskrit term 'manas', representing the 'mind' or 'intellect'. It is often referred to as the sixth consciousness (manovijñāna), which synthesizes the data from the five sensory consciousnesses and forms concepts. It is also understood as the faculty of thought and intention.",92,,
眼根,An Shigao,True,yǎngēn,Semantic,eye faculty; eye sense organ,cakṣurindriya,?,?,?,"In Buddhist terminology, '根' (indriya) refers to the sense faculties or organs. '眼根' denotes the faculty of sight, which is the physical basis and the faculty for seeing, one of the six roots (六根).",49,,
色聲香味細滑,An Shigao,True,sè shēng xiāng wèi xì huá,Semantic,"forms, sounds, smells, tastes, fineness, and smoothness","rūpa, śabda, gandha, rasa, sūkṣma, ślakṣṇa",?,?,?,"This term lists the objects of the first four senses (sight, sound, smell, taste) followed by two specific qualities (fineness and smoothness) that are usually subsumed under the object of touch (觸, sparṣṭavya). These are aspects of sensory objects that can lead to craving and attachment in Buddhist philosophy.",5,,
欲,An Shigao,True,yù,Semantic,desire; craving; wish,kāma; icchā; tṛṣṇā,?,?,?,"A fundamental concept in Buddhism, referring to various forms of desire, craving, and attachment, which are seen as causes of suffering (dukkha). It is a key element in the Twelve Nidānas (dependent origination) and the Four Noble Truths.",160,,
信,An Shigao,True,xìn,Semantic,"faith, belief, confidence, trust",śraddhā,?,?,?,"A fundamental Buddhist concept, referring to faith, confidence, or trust in the Dharma and the Three Jewels. It is one of the Five Roots (五根) and Five Powers (五力) and is often translated from Sanskrit śraddhā. It can also relate to prasāda (serene faith).",140,,
惡本,An Shigao,True,èběn,Semantic,root of evil; fundamental evil,akuśala-mūla,,,,"Refers to the fundamental causes or roots of unwholesome actions and states in Buddhism. It is often related to concepts like the three unwholesome roots (greed, hatred, ignorance) as the underlying basis for evil or suffering.",4,,
滅,An Shigao,True,miè,Semantic,"cessation, extinction",nirodha,?,?,?,"A fundamental Buddhist concept, particularly referring to the cessation of suffering (duḥkha), as in the Third Noble Truth (滅諦, nirodha-satya). Also found in terms like '寂滅' (quiet cessation) referring to nirvana.",128,,
愚癡,An Shigao,True,yúchī,Semantic,"Ignorance, delusion, foolishness, stupidity","moha, avidyā",?,?,?,"One of the three poisons (triviṣa) in Buddhism, alongside greed (rāga) and hatred (dveṣa). It represents fundamental spiritual ignorance or delusion that obscures the true nature of reality and prevents enlightenment.",381,,
疑,An Shigao,True,yí,Semantic,doubt,vicikitsā,?,?,?,"In Buddhism, 'doubt' (vicikitsā) is considered one of the five hindrances (nīvaraṇa) and one of the ten fetters (saṃyojana), referring to uncertainty or skepticism regarding the Three Jewels (Buddha, Dharma, Saṅgha) or the truths of the Dharma.",125,,
癡結,An Shigao,True,chī jié,Semantic,Fetter of ignorance,mohasaṃyojana,?,?,?,"Refers to the bonds or fetters (saṃyojana) that arise from ignorance or delusion (moha), a fundamental defilement that binds beings to saṃsāra.",6,,
邪結,An Shigao,True,xiéjié,Semantic,evil fetter; wrong view fetter,mithyādṛṣṭi-saṃyoga,,,,"Refers to a fetter or bond arising from wrong views, specifically those that are heterodox or evil. It is related to the daśa saṃyojanāni (ten fetters) in Buddhist thought.",2,,
疑結,An Shigao,True,yí jié,Semantic,Fetter of doubt; Doubt (as a fetter),vicikitsā-saṃyojana,?,?,?,"In Buddhist philosophy, 疑結 (yí jié) refers to the ""fetter of doubt"" (vicikitsā-saṃyojana), which is one of the ten mental bonds (saṃyojana) that tie sentient beings to the cycle of rebirth (saṃsāra). Doubt (vicikitsā) here implies a fundamental uncertainty or lack of conviction regarding the Buddhist path, the Three Jewels (Buddha, Dharma, Saṅgha), or the principle of karma. It is an obstacle to spiritual progress and liberation.",25,,
睡,An Shigao,False,shuì,Partial term,"to sleep, to doze off",?,?,?,?,"The character '睡' (shuì) means 'to sleep' and is a generic Chinese verb. While the concept of sleep (睡眠 shuìmián) is present in Buddhist discourse, '睡' by itself is not considered a specific Buddhist technical term or idiom.",15,,
猗,An Shigao,False,yī,Partial term,Alas!; Oh!; beautiful; luxuriant; graceful,,?,?,?,The character '猗' is primarily an interjection or an adjective meaning 'beautiful' or 'luxuriant' in classical Chinese. It appears in Buddhist texts but is not a specific Buddhist technical term or concept. It is used as a common grammatical particle or exclamation rather than a piece of Buddhist terminology itself.,21,,
天,An Shigao,True,tiān,Semantic,heaven; deva,deva,?,?,?,"In Buddhism, '天' (tiān) refers to celestial realms or heavens (svarga) and the divine beings (devas) who reside there. There are various levels of heavens, such as the six desire heavens, the heavens of form, and the formless heavens, all of which are still considered within samsara.",264,,
無有欲,An Shigao,True,wú yǒu yù,Semantic,without desire,niṣkāma,,,,"Describes a state of being free from desire, which is a fundamental concept in Buddhist practice, aiming for the cessation of suffering.",2,,
陰,An Shigao,True,yīn,New meaning,aggregate; skandha,skandha,?,?,?,"In Buddhism, the character 陰 (yīn) takes on a specialized meaning, most notably as 'aggregate' or 'constituent' (Sanskrit: skandha), particularly in the concept of the 'five aggregates' (五陰, wǔyīn) that make up a sentient being. This is a new, technical sense beyond its common meanings of 'shade', 'dark', or 'hidden'.",155,,
長阿含,An Shigao,True,Cháng Āhán,Mixed,Dīrgha Āgama,Dīrghāgama,,,,"The 'Long Discourses' or 'Collection of Long Discourses'. It is one of the four main Āgama collections in the Chinese Buddhist canon, corresponding to the Dīgha Nikāya of the Pāli Canon. '長' (cháng) is a semantic translation meaning 'long', and '阿含' (āhán) is a transliteration of 'Āgama' meaning 'collection of discourses'.",14,,
舍衛國祇樹給孤獨園,An Shigao,True,Shèwèi Guó Jīshù Gěigūdú Yuán,Mixed,Jetavana-Anāthapiṇḍika Park in the kingdom of Śrāvastī,Śrāvastī Jetavanānāthapiṇḍikasyārāma,?,?,?,"This is a famous monastery in the ancient kingdom of Śrāvastī, where the Buddha spent 19 rainy seasons. It was donated by Prince Jeta (祇陀, Jītuó) and the wealthy merchant Anāthapiṇḍika (給孤獨, Gěigūdú). The Chinese term combines transliteration for Śrāvastī (舍衛) and Jeta (祇), and semantic translation for kingdom (國), grove (樹), Anāthapiṇḍika (給孤獨), and park (園).",27,,
說法,An Shigao,True,shuōfǎ,Semantic,expound the Dharma; preach the Dharma; teach the Dharma; give a Dharma talk,dharmadeśanā,,,,A fundamental Buddhist term referring to the act of teaching or explaining the Buddhist doctrine (Dharma). It is a direct semantic translation of the concept.,816,,
思惟,An Shigao,True,sīwéi,Semantic,thought; thinking; contemplation; reflection,cintā; manana; vicāra,,,,"Refers to the mental faculty of thought and contemplation, often in a Buddhist context of reflecting on Dharma. It is a key aspect of mental cultivation.",103,,
憍慢,An Shigao,True,jiāo màn,Semantic,"arrogance, pride, conceit",māna,,,,"This term refers to the mental affliction of pride or conceit, one of the six fundamental afflictions (根 本 煩 惱, mūlakleśa) in Buddhism. It is often paired with 'madana' (intoxication) in Sanskrit, where 憍 can represent 'madana' and 慢 'māna'. It is the delusion of self-importance or a sense of superiority.",210,,
世間愛,An Shigao,True,Shìjiān'ài,Semantic,Worldly craving,lokatṛṣṇā,?,?,?,"世間愛 (Shìjiān'ài) refers to the craving or attachment to worldly things and experiences, which is considered a root cause of suffering (duḥkha) in Buddhism. It encompasses desires related to the five senses, material possessions, and worldly status. The Sanskrit equivalent 'lokatṛṣṇā' directly translates to 'worldly thirst' or 'worldly craving', where 'loka' means world and 'tṛṣṇā' means craving or thirst. Another possible Sanskrit equivalent is 'lokarāga' (worldly attachment/passion).",3,,
度世,An Shigao,True,dù shì,Semantic,to save the world; to deliver sentient beings; to ferry across the world (of suffering),loka-tāraṇa,,,,"A common Buddhist term referring to the act of saving or delivering sentient beings from the suffering of saṃsāra, leading them to liberation. '度' (dù) means to cross over, to ferry, to save, and '世' (shì) refers to the world or sentient beings within it.",62,,
法經,An Shigao,True,fǎ jīng,Semantic,Dharma Sūtra,Dharmasūtra,,,,A general term for sūtras concerning the Dharma. It is sometimes used as an abbreviation or alternative title for the Dhammapada (法句經).,4,,
欲有,An Shigao,True,yù yǒu,Semantic,desire-existence; existence in the desire realm; sensual existence,kāma-bhava,,,,"This term refers to the existence or state of being in the desire realm (kāma-loka), one of the three realms (triloka) in Buddhist cosmology. It is a fundamental concept in the Buddhist understanding of samsāra and the chain of dependent origination.",25,,
色有,An Shigao,True,sèyǒu,Semantic,existence of form; form-existence; realm of form,rūpabhava,?,?,?,"Refers to the realm of form (rūpaloka), one of the three realms of existence (triloka). It is the world of beings that have material bodies but are free from gross desires, often achieved through meditation practices (dhyāna). It is contrasted with the formless realm (arūpabhava 無色有) and the desire realm (kāmabhava 欲有).",24,,
不色有,An Shigao,True,bù sè yǒu,Semantic,formless existence,arūpya-bhava,,,,"One of the three types of existence (三有 sān yǒu) or realms of existence, corresponding to the formless realm (無色界 wú sè jiè) in Buddhist cosmology.",2,,
欲愛,An Shigao,True,yù ài,Semantic,sensual craving,kāmatr̥ṣṇā,?,?,?,"欲愛 is one of the three types of craving (tr̥ṣṇā) in Buddhism, specifically referring to the craving for sensual pleasures (kāma-tr̥ṣṇā). It is a fundamental concept related to suffering and the cycle of rebirth.",82,,
色愛,An Shigao,True,sè'ài,Semantic,craving for form,rūpa-tṛṣṇā,?,?,?,"Refers to craving or attachment to material forms (rūpa). It is one of the three types of craving (kāma-tṛṣṇā, rūpa-tṛṣṇā, arūpa-tṛṣṇā) or one of the fetters (saṃyojana) binding beings to existence, specifically to the form realm (rūpa-dhātu).",46,,
不願,An Shigao,False,bù yuàn,Generic phrase,unwilling; reluctant; not willing to; not want to,,,,,"This is a common Chinese phrase meaning 'unwilling' or 'reluctant'. While the character '願' (yuàn) can relate to Buddhist concepts like vows or aspirations, '不願' as a whole is not a specific Buddhist technical term, but rather a generic expression of negation of willingness.",15,,
不想,An Shigao,False,bù xiǎng,Generic phrase,don't want to; not thinking,,,,,"This is a common Chinese phrase meaning ""don't want to"" or ""not thinking,"" and is not a specific technical term in Buddhist terminology. While it might appear in Buddhist texts as part of general language, it does not represent a defined Buddhist concept like 無想 (wú xiǎng, non-thought/non-perception).",3,,
癡惱,An Shigao,True,chī nǎo,Semantic,delusion and affliction; foolish vexation,moha-kleśa,,,,This term refers to the mental states of delusion (moha) and the resulting mental afflictions or defilements (kleśa). It signifies the suffering and vexation arising from ignorance.,2,,
法身,An Shigao,True,fǎshēn,Semantic,Dharma-body; Dharmakāya,dharmakāya,?,pjap syin,pjop syin,"The Dharma-body is one of the three bodies (trikāya) of a Buddha, representing the ultimate truth or reality of a Buddha's being.",268,,
意根,An Shigao,True,yìgēn,Semantic,mind-faculty; mental faculty,manas-indriya,,,,"In Buddhism, 意根 (manas-indriya) refers to the mind as a sense organ or faculty. It is the sixth of the six sense faculties (六根, ṣaḍ-indriya), which apprehends mental objects (法, dharmas).",47,,
道弟子,An Shigao,False,dào dìzǐ,Generic phrase,disciple of the Way/Path; follower of the Way/Path,N/A,,,,"While '道' (dào) can refer to the Buddhist path and '弟子' (dìzǐ) means 'disciple,' the combination '道弟子' is not a standard, recognized Buddhist technical term or idiom. It is a generic phrase that could be used, but more commonly, Buddhist disciples are referred to as '佛弟子' (fó dìzǐ, Buddha's disciple) or '佛教徒' (fójiàotú, Buddhist follower). The term '道弟子' is more often associated with Daoist practitioners (道教弟子).",3,,
忍辱,An Shigao,True,rěnrǔ,Semantic,Forbearance; patience; endurance of insult,kṣānti,,,,"A core Buddhist virtue, often listed as one of the six (or ten) pāramitās (perfections) in Mahayana Buddhism. It refers to the practice of enduring insults, harm, and suffering with patience and without anger or resentment.",388,,
魔,An Shigao,True,mó,Transliteration,Mara; demon; tempter; evil,Māra,/*C.mˤra/,?,/mra/,"'魔' is a transliteration of the Sanskrit word 'Māra', which refers to the personification of temptation, desire, and obstacles to spiritual enlightenment in Buddhism. Māra is often depicted as a deity or demon who tried to prevent Gautama Buddha from attaining enlightenment. The character '魔' itself also acquired the general meaning of 'demon' or 'evil' in Chinese.",372,,
梵,An Shigao,True,fàn,Transliteration,Brahma; pure; sacred; holy,Brahmā,*brâmʔ,?,bramX,"'梵' primarily serves as a transliteration of the Sanskrit term 'Brahmā' (referring to the deity) and 'Brahman' (the concept of the sacred). In Buddhist contexts, it also acquired the derived meanings of 'pure', 'sacred', or 'holy', often used adjectivally in compounds (e.g., 梵行 brahmacaryā 'pure conduct').",113,,
五解脫,An Shigao,True,wǔ jiětuō,Semantic,Five liberations; Five emancipations,Pañca-vimukti,?,?,?,"Refers to various enumerations of five types of liberation from suffering and defilements. These can include classifications based on mind-liberation (ceto-vimukti) and wisdom-liberation (prajñā-vimukti), or other groupings such as liberation from defilements, karma, retribution, cognitive obscurations, and the cycle of birth and death.",3,,
戒,An Shigao,True,jiè,Semantic,precept; moral discipline; commandment; vow,śīla,?,?,?,"A fundamental concept in Buddhism, referring to moral precepts, ethical conduct, or discipline. It is a semantic translation of Sanskrit śīla, often appearing in compounds like 'five precepts' (五戒, pañcaśīla) or 'monastic precepts' (戒律).",450,,
學,An Shigao,True,xué,Semantic,"study, learning, training",śikṣā,?,?,?,"The character 學 (xué) in Buddhist terminology primarily refers to ""study,"" ""learning,"" or ""training."" It is a fundamental concept, notably found in the ""Three Trainings"" (三學, Skt. *trīṇi śikṣāṇi*), which are moral discipline (戒, *śīla*), meditation (定, *samādhi*), and wisdom (慧, *prajñā*).",58,,
度世解脫,An Shigao,True,dù shì jiě tuō,Semantic,Deliverance of sentient beings and liberation,sattvoddhāraṇa-mokṣa,,,,"This term expresses the Buddhist ideal of helping all sentient beings escape suffering and attain ultimate freedom, combining the concepts of saving the world (度世) and achieving liberation (解脫).",2,,
六愛,An Shigao,True,liù ài,Semantic,Six cravings,ṣaṭ-tṛṣṇā,,,,"Refers to the craving or attachment that arises in relation to the six sense objects (form, sound, smell, taste, touch, and mental objects). It is a component of the twelve links of dependent origination (pratītyasamutpāda), where '愛' (tṛṣṇā) is a fundamental link.",3,,
慈意,An Shigao,True,cí yì,Semantic,benevolent thought; compassionate intention; loving-kindness mind,maitrī-citta; maitrī-saṃkalpa,,,,"慈 (cí) means loving-kindness or benevolence (maitrī), and 意 (yì) means thought, intention, or mind (saṃkalpa or citta). Thus, 慈意 refers to a mind or intention filled with loving-kindness or compassion towards others.",3,,
殺意,An Shigao,True,shāyì,Semantic,killing intent; murderous intent,vadha-cetanā,?,?,?,"Refers to the intention to kill. In Buddhist ethics, the presence of killing intent (殺意) is a crucial factor in determining the karmic weight and completion of the transgression of the first precept (not to kill). It is a key element in defining an unwholesome action.",2,,
喜心,An Shigao,True,xǐxīn,Semantic,Joyful mind,prīti-citta,?,?,?,"Refers to a joyful or appreciative state of mind. In some Buddhist contexts, it can be associated with muditā (sympathetic joy), one of the brahmavihāras.",40,,
六念,An Shigao,True,liù niàn,Semantic,Six Recollections; Six Mindfulnesses,ṣaḍ-anusmṛti,,,,"The 'Six Recollections' refer to the mindfulness of the Buddha (buddhānusmṛti), the Dharma (dharmānusmṛti), the Saṅgha (saṅghānusmṛti), morality/precepts (śīlānusmṛti), generosity/liberality (tyāgānusmṛti), and devas/heavenly beings (devatānusmṛti). These practices are fundamental in developing mental purity and spiritual progress in Buddhism.",44,,
念佛,An Shigao,True,niànfó,Semantic,Recollection of the Buddha; Mindfulness of the Buddha; Chanting the Buddha's name; Nianfo,buddhānusmṛti,,,,"Refers to the practice of remembering, reflecting on, or reciting the name of a Buddha, particularly Amitābha Buddha. It encompasses both mental recollection (mindfulness) and verbal chanting, aimed at achieving rebirth in the Pure Land.",127,,
念法,An Shigao,True,niànfǎ,Semantic,recollection of the Dharma; mindfulness of the Dharma,dharmanusmṛti,?,?,?,"One of the Six Recollections (ṣaḍ-anusmṛtayah), which are practices for developing mindfulness and faith. It involves recollecting the characteristics of the Dharma, such as its being well-taught, visible, timeless, inviting, onward-leading, and to be understood by the wise.",77,,
