CSZJJ,Taisho_No,verse_or_prose,syllables_per_line,vernacular_or_literary,literal_or_fluent,ornate_or_plain_language,terse_or_verbose,idioms_used,factual_or_spiritual,indigenous_chinese,interpolations,interlinear_commentary,oral_transmission,explicit_sentence_subject,plural_zhu,tense,abbreviations,do_not_use1,do_not_use2,notes,error
修行經,T 606 (1),mixed,7,literary,literal,ornate,verbose,False,spiritual,True,False,False,True,implicit,True,unspecified,False,False,False,"The verse sections exhibit highly variable syllable counts per line, commonly ranging from 5, 7, to 9 syllables, often within the same gatha. While the overall language leans literary, there are instances of ""translationese"" resulting from direct rendering of Indic syntax. The primary aim of the text is spiritual guidance, but it frequently employs detailed 'factual' classifications and descriptions (e.g., 404 diseases, fetal development, internal worms) that reflect ancient Indic medical and cosmological understandings. The use of phrases like '解空歸無' (understanding emptiness and returning to nothingness) suggests an influence from indigenous Chinese philosophical concepts, particularly Daoist notions of 'nothingness' (無). The alternation between prose and verse (gāthā-prose style) is characteristic of early Buddhist texts and points to a history of oral transmission. The preface ('并序') is a Chinese addition, separate from the core Indic translation.",
修行經,T 606 (2),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text presents a mixture of prose and verse sections, with verse marked by '於是頌曰'. The majority of verse lines consist of 5 syllables, though some lines extend to 7 syllables. The translation style, typical of Dharmarakṣa (竺法護), is quite literal, often directly rendering Indic structures into Chinese, which can result in somewhat less fluent phrasing but aims to preserve the original meaning. The language is literary and largely plain, focusing on conveying the teachings directly rather than using ornate embellishments. The prose sections are often verbose, particularly in their detailed explanations and enumerations (e.g., the 19 types of people). There are strong indications of oral transmission, such as repetitive phrases (e.g., '修行道者', '於是頌曰') and didactic question-and-answer formats. The text frequently employs explicit sentence subjects and consistently uses 諸 (zhū) to denote plural forms, such as 諸佛 (all Buddhas). Tense is generally left unspecified, relying on context.",
修行經,T 606 (3),mixed,7,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is a mixture of narrative prose and gāthā (verse sections). The verse sections predominantly feature lines of either five or seven characters/syllables. The translation exhibits a verbose style, characteristic of Indic Buddhist texts, with repetition for emphasis or oral retention. Subjects are frequently implicit, aligning with classical Chinese grammatical structures. The language is functional rather than overtly ornate, prioritizing direct conveyance of meaning. While '定' (concentration/samādhi) is used, the overall subject matter and purpose of the text are spiritual, focusing on the path to awakening and moral conduct. There are strong indications of an oral transmission tradition in the source text due to the repetitive nature of descriptions, especially in the king's test and the detailed accounts of hells. No interlinear commentary or abbreviations are present. While Dharmarakṣa's translations are generally early, there's no pervasive evidence of Buddhist teachings being interpreted through indigenous Chinese philosophical concepts within this excerpt.",
修行經,T 606 (4),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is a mixed form of prose and verse. While the predominant verse form is 5 syllables per line, 7-syllable lines are also very common and frequently interchanged. The translation style is quite literal, often reflecting Indic grammatical structures and repetitions, which can make it less fluent by classical Chinese literary standards, but ensures precision in conveying the original meaning. The language is plain rather than ornate, focusing on the clear transmission of complex Buddhist philosophical concepts. It is verbose, with extensive explanations, analogies, and reiterations. The content is deeply spiritual, focusing on core Buddhist doctrines such as emptiness (空), non-self (無我), the aggregates (五陰), and the path to liberation. There is no clear evidence of Buddhist teachings being reinterpreted through indigenous Chinese philosophical concepts. The alternating prose and verse sections (prose followed by summarizing gāthā) are strong indicators of a source text designed for oral transmission. Explicit sentence subjects are frequently used, contributing to clarity in the literal translation style. The adverb 諸 (zhu) is consistently used to denote plural forms. Tense is largely unspecified, relying on context for temporal understanding.",
修行經,T 606 (5),mixed,7,literary,fluent,plain,verbose,False,factual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is a mix of prose and verse. The verse sections exhibit variable line lengths, commonly 5, 7, and 9 syllables per line, with 7 chosen as a representative value. While Dharmarakṣa aimed for accurate translation, the exact presence of interpolations without the original Indic source is difficult to ascertain, though early Chinese Buddhist translations sometimes included minor additions for clarity. The tone of explanations leans factual/methodical.",
修行經,T 606 (6),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text presents a mixed style, alternating between prose sections that describe doctrine and narrative, and verse sections (gāthā) that summarize or elaborate on the preceding prose, often introduced by '於是頌曰' (Thus says the verse). Verse sections primarily employ 5-syllable lines, but 7-syllable lines are also present in some stanzas. The translation employs a literary Chinese style characteristic of early Buddhist translations, blending classical vocabulary and grammar with specialized Buddhist terminology, distinct from modern vernacular but also not pure classical Chinese. It exhibits a tendency towards literal rendering, sometimes reflecting the syntax and enumerative style of its Indic source, which can lead to repetition and less fluid phrasing. While the verse sections contain some evocative imagery, the overall language in the prose is descriptive and functionally plain, focusing on the clear conveyance of Buddhist doctrine rather than extensive rhetorical ornamentation. The translation tends to be verbose, often using repetition for emphasis and detailed enumerations (e.g., the 'fifty-five things' describing the body) and elaborate parables to explain concepts. It does not frequently employ indigenous Chinese idioms (成語); rather, it uses similes and metaphors that appear to be direct translations from the Indic source. The tone is decidedly spiritual, focusing on the path to liberation and understanding the nature of reality from a Buddhist perspective. There is no overt evidence in this excerpt of Buddhist teachings being reinterpreted using indigenous Chinese philosophical concepts. No clear interpolations or interlinear commentary are evident within this excerpt. The presence of repetitive phrases, formulaic patterns, and the alternating prose-and-verse structure, often with introductory phrases like '於是頌曰,' suggests an influence from oral transmission or a style designed for recitation and memorization. No discernible abbreviations are used. Subjects are frequently stated explicitly, especially when introducing new actors or topics, contributing to clarity in the translation. The character 諸 (zhū) is consistently used to denote plural forms. Tense is generally indicated through context or temporal adverbs rather than explicit verb conjugations, which is characteristic of Classical Chinese grammar.",
修行經,T 606 (7),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is a mixture of verse and prose. The verse sections consistently feature five syllables per line, a common meter in early Chinese Buddhist translations. The language is literary, employing classical Chinese grammatical structures and vocabulary, rather than a vernacular form. The translation style appears literal, sometimes exhibiting 'translationese' characteristics, where the phrasing might directly reflect the Indic source language's syntax, occasionally making the prose somewhat less natural than native Chinese literary works. Despite frequent use of similes and parables, which add a layer of narrative richness, the language itself tends towards plainness rather than ornate embellishment, prioritizing the direct conveyance of Buddhist concepts. The text is verbose, characterized by extensive explanations, repetitions of key ideas, and numerous parables to illustrate its points. No distinct Chinese idioms (chengyu) are explicitly used. The overall tone is spiritual, focusing on the path to liberation, the nature of suffering, and the attainment of nirvana and Buddhahood, using terms like '泥洹' (nirvana) and emphasizing profound spiritual states. There is no clear evidence of Buddhist teachings being actively reinterpreted through indigenous Chinese philosophical concepts. The alternating structure of verse followed by prose explanations is typical of orally transmitted Buddhist sūtras, suggesting signs of oral transmission. There are no explicit interpolations or interlinear commentaries within the text itself. Sentence subjects are often explicitly stated in the prose sections, which is more pronounced than in typically terse classical Chinese and likely influenced by the Indic source language. The adverb '諸' (zhū) is frequently used to indicate plural forms (e.g., '諸佛', '諸子'). Tense is generally left unspecified, relying on context for understanding the temporal aspect of actions.",
漸備一切智經,T 285 (1),mixed,5,literary,literal,ornate,verbose,True,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text contains extensive prose sections alternating with clearly marked gatha (頌曰) or verse (以偈歎頌) sections. The predominant meter in the gatha sections is 5 syllables per line, though some sections use 7 syllables. The language employs sophisticated classical Chinese vocabulary and grammatical structures, characteristic of literary Chinese. The translation often adheres closely to the structure of the Indic source, resulting in a somewhat rigid and repetitive style rather than a smoothly rephrased Chinese text. Phrases like ""所以者何？"" are common. While literal, the descriptions are rich and grand, using an elevated vocabulary to convey the profoundness of Buddhist concepts, characteristic of Mahayana sutras. The text features extensive repetition, detailed enumerations, and elaborate explanations of concepts, reflecting a desire for thoroughness in translation. The text extensively uses established Buddhist technical terms and fixed phrases that function as idioms within the Buddhist discourse (e.g., ""六度無極"", ""三界"", ""十二因緣""). The core subject matter revolves around spiritual development, stages of enlightenment (Ten Abodes), and the cultivation of Bodhisattva virtues, framed within a spiritual worldview. There is no overt evidence of Buddhist teachings being reinterpreted or explicitly aligned with indigenous Chinese philosophical concepts (like Daoism or Confucianism), suggesting a more direct translation approach typical of Dharmarakṣa. Without comparative source texts, direct interpolations are difficult to identify. The verbosity seems to be a translation style rather than an insertion of foreign material. The provided text does not contain any interlinear commentary within its main body. The frequent use of direct address (""諸佛子!""), rhetorical questions, and repetition, as well as the structure of questioning and answering, strongly indicates a style suited for or derived from oral transmission. No systematic or significant use of abbreviations is observed in the text. While classical Chinese often allows implicit subjects, this text frequently uses explicit subjects, especially when introducing new speakers or topics, likely reflecting the grammatical requirements of the Indic source. The character 諸 (zhu) is widely used to denote plural forms, such as ""諸佛"" (all Buddhas) and ""諸菩薩"" (all Bodhisattvas). As is typical for classical Chinese, tense is generally not grammatically marked and is inferred from context or temporal adverbs rather than explicit verbal conjugations.",
漸備一切智經,T 285 (2),mixed,4,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The source text exhibits a didactic style, structured with direct addresses (e.g., ""Buddha's sons, listen!""), extensive enumerations of qualities or practices, and a clear division into prose and verse (gatha) sections. The content is spiritual, detailing Bodhisattva stages and practices. Repetitions of phrases and concepts are common, likely for emphasis or to aid memorization, suggesting elements of oral tradition in the source. The translation style, characteristic of early translators like Zhu Fahu, is highly literal. This results in Chinese phrasing that can sometimes feel stilted, awkward, or less fluent, as it closely maps the grammatical structures of the Indic original. While the vocabulary is classical, the syntax often deviates from idiomatic Chinese. The language is formal but not overly ornate, prioritizing the direct conveyance of Buddhist concepts. The text is verbose, with frequent repetitions and explicit sentence subjects, and consistently uses 諸 (zhu) to denote plurals, reflecting a direct rendering from an inflected source language. Tense is largely unspecified, as is common in classical Chinese.",
漸備一切智經,T 285 (3),mixed,5,literary,literal,ornate,verbose,False,spiritual,True,False,False,True,explicit,True,unspecified,False,False,False,"The text is a mixture of prose and verse (gāthās). The prose sections are long and detailed, followed by verse summaries, a common feature in Buddhist sutras. The verse lines are consistently five syllables. The language is literary and often ornate, reflecting an elevated style appropriate for religious texts. The translation tends to be literal, often reflecting Indic syntax and exhibiting repetition which, while aiding clarity for a new audience, can make it verbose in Chinese. The use of terms like '虛無' (emptiness/nothingness) for Buddhist emptiness, though technically a translation, might resonate with indigenous Chinese philosophical concepts (Daoism) for early readers, showing a subtle influence rather than direct interpretation. The presence of direct address ('諸佛子聽!') and repeated explanations suggests an origin or adaptation for oral transmission. Tense is generally left unspecified, relying on contextual adverbs for temporal indication. Sentence subjects are more explicit than typical classical Chinese, likely influenced by the Indic source.",
漸備一切智經,T 285 (4),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is a mixture of prose and verse. The verse sections primarily consist of five-syllable lines (偈頌). The language is literary Chinese, typical of early Buddhist translations, and shows characteristics of a more literal translation style, often reflecting the structure of the Indic source language. This results in verbose phrasing, particularly through frequent repetition for emphasis and enumeration (e.g., extensive use of '不可計' - immeasurable). The tone is distinctly spiritual, employing numerous specific Buddhist technical terms such as '三昧' (samādhi) and '道地' (bhūmi). There is no strong evidence of indigenous Chinese philosophical concepts being used for reinterpretation, nor are there obvious interpolations or interlinear commentaries. The repetitive and somewhat less polished style, along with paratactic structures, suggests the influence of oral transmission. Sentence subjects are often explicitly stated, possibly reflecting the Indic source. The adverb '諸' (zhu) is consistently used to indicate plural forms, as seen in '諸佛'. Tense is generally left unspecified, relying on context rather than explicit grammatical markers.",
漸備一切智經,T 285 (5),mixed,5,literary,literal,ornate,verbose,False,spiritual,False,False,True,False,explicit,True,unspecified,False,False,False,"The text is a mixture of prose and verse (gāthā), with the verse section largely adhering to a 5-syllable line structure. The language is literary, characteristic of early Chinese Buddhist translations, employing classical Chinese. The translation style is notably literal, directly reflecting the structure and terminology of the Indic original, sometimes resulting in dense or less fluid Chinese. This is evident in constructions like '光明這沒' (light then vanished) and some awkward phrasings. Despite its literalness, the descriptive language is often ornate, using rich vocabulary to convey the grandeur of Buddhist concepts and realms. The text is verbose, with frequent use of compound terms and repetitions (e.g., '無極無窮', '不可稱計') to emphasize vastness and detail, indicating a thorough attempt to translate every nuance of the source text. No significant use of native Chinese idioms was observed. The content is entirely spiritual, focusing on Buddhist doctrine, practices (samādhi, bhūmis), and the path to Buddhahood; terms like '三昧' (samādhi) are used. Buddhist teachings are translated directly rather than interpreted through indigenous Chinese philosophical concepts, as evidenced by the explicit listing of Indic and Chinese terms for the ten bhūmis in the colophon. No textual interpolations by the translator were identified within the main body, though an editorial interlinear commentary points to a potential textual lacuna. No strong evidence within the text suggests it was primarily transmitted orally in its Chinese form; it appears to be a formal written translation from a '梵本' (Sanskrit manuscript). No abbreviations were used. Sentence subjects are more frequently explicit than in typical classical Chinese, likely a result of literal translation from the Sanskrit. The adverb 諸 (zhū) is consistently used for pluralization. Tense is generally unspecified, as is typical for classical Chinese.",
生經,T 154 (1),mixed,7,literary,fluent,ornate,verbose,True,spiritual,True,True,False,True,implicit,True,unspecified,False,False,False,"The text alternates between prose narration and verse (gathas), often introduced by phrases like ""以偈頌曰"" (said in gathas) or ""以偈答曰"" (answered in gathas). The gathas predominantly feature lines of seven syllables, though some earlier sections show five syllables; seven appears to be the most common and consistent length in the majority of the verse dialogues. The text is written in a sophisticated form of classical Chinese, employing an elevated vocabulary and complex grammatical structures characteristic of literary prose of the Western Jin period, rather than colloquial speech. Dharmarakṣa's translations are known for their fluency, prioritizing readability and adapting the text to Chinese literary conventions. The sentences flow naturally in Chinese, indicating a less literal, more interpretive approach to the source material. The language tends towards the ornate, utilizing rich descriptions and carefully chosen vocabulary to enhance the narrative and convey spiritual concepts. It is not overly simple or stark. The translation exhibits a verbose style, with detailed narratives, frequent elaborations, and repetitions, which contributes to its readability but makes it less terse. Several Chinese idioms and idiomatic expressions are integrated, such as ""棄家牢獄，鋃鐺杻械"" (abandoning the home like a prison, with shackles and fetters), ""竭生死海"" (exhaust the ocean of samsara), ""心懷湯火"" (heart holding boiling water and fire), and ""舉手欲擲日月"" (raising a hand to throw at the sun and moon). The overarching tone is spiritual and didactic, focusing on Buddhist teachings, moral lessons, karma, and the path to enlightenment. Terms related to spiritual practice and liberation are used. Dharmarakṣa was known for his efforts to make Buddhist teachings accessible to Chinese audiences. While explicit philosophical reinterpretations are subtle in this excerpt, the narrative presentation of moral lessons and virtues aligns with traditional Chinese ethical sensibilities, and certain phrases like ""聖體萬福"" (sacred body, ten thousand blessings) reflect Chinese cultural integration. Given Dharmarakṣa's fluent and adaptive translation style, and the general practice of early Chinese Buddhist translators, it is highly probable that the text includes interpolations to clarify or expand upon the original Indic material for a Chinese readership. This inference is based on the stylistic characteristics rather than a direct comparison to an extant Sanskrit text. No interlinear commentary is present within the provided text. The text displays features consistent with oral transmission, such as the formulaic opening ""聞如是"" (Thus have I heard), repetitive narrative elements, and a clear, didactic storytelling style found in many early Buddhist narratives intended for spoken delivery. There are no discernible abbreviations of Chinese terms or characters used within the text. Subjects are often omitted in accordance with classical Chinese grammatical conventions when they can be inferred from context, making the sentence subjects predominantly implicit, though explicit subjects appear when necessary for clarity. The character 諸 (zhū) is frequently used to denote plurality, as seen in examples such as ""諸比丘"" (the monks), ""諸眷屬"" (the relatives), and ""諸佛"" (the Buddhas). Tense is largely unspecified, a common feature of classical Chinese. Time is primarily indicated through adverbs (e.g., ""一時"" (at one time), ""乃往過去"" (in the past)) and the sequential flow of the narrative, rather than explicit verbal conjugations.",
生經,T 154 (2),mixed,7,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is a collection of early Chinese Buddhist sutras translated by Dharmarakṣa during the Western Jin dynasty. His translation style is characterized by a literal rendering of Indic originals, sometimes resulting in a less natural Chinese flow. The prose sections are direct narratives of events and teachings. The verse sections (gāthās, often marked by 偈曰) primarily use a seven-syllable line, though a five-syllable pattern is also present in one instance (e.g., 怨家像知識). The language is generally plain, focusing on conveying the doctrine rather than elaborate literary flourishes. The verbosity is characteristic of texts meant for oral transmission, with frequent repetitions and detailed enumerations. While the text uses classical vocabulary, its grammatical structures often retain an Indic flavor, making it distinct from purely indigenous Chinese literary works. The frequent use of 諸 (zhū) for pluralization and explicit sentence subjects are notable features. Tense is largely implied by context rather than explicitly marked through grammatical structures. The content is predominantly spiritual, focusing on Buddhist doctrines, narratives, and practices.",
生經,T 154 (3),mixed,5,vernacular,literal,plain,verbose,False,spiritual,False,True,False,True,implicit,True,unspecified,False,False,False,"The text is a mixture of prose and verse. The verse sections (gathas) predominantly feature five syllables per line. The translation style, characteristic of early translator Dharmarakṣa, is notably literal, often reflecting the syntax and vocabulary of the Indic source language, which can sometimes lead to repetitive or verbose phrasing. While not modern vernacular, it leans towards a more direct and less ornate language compared to highly polished literary Chinese, indicative of early 'translationese' aimed at conveying meaning rather than stylistic elegance. Tense is generally unspecified, inferred from context or temporal indicators. The presence of formulaic phrases (e.g., '聞如是') and narrative structures suggests a background in oral transmission. The use of 諸 (zhu) for pluralization is frequent. While direct evidence of interpolations is not explicitly marked in the text, it is common for early Chinese Buddhist translations to contain such additions due to the nature of their transmission and translation process.",
生經,T 154 (4),mixed,5,literary,literal,plain,verbose,True,spiritual,True,True,False,True,explicit,True,unspecified,False,False,False,"The text, likely translated from Sanskrit, is a mix of prose and verse (gāthās), with verses consistently adhering to a five-syllable line structure. The translation style is literary, characteristic of early Chinese Buddhist sutra translations, utilizing classical particles and formal syntax. It tends towards a literal rendering of the Indic source, which sometimes results in verbose phrasing, repetitions, or multiple synonyms. While the narrative is generally in plain language, descriptions of spiritual beings, virtues, and profound concepts often employ elevated or ornate phrasing, reflecting the grandeur of the source material. Common Buddhist metaphors and similes, functioning like idioms (e.g., 'as shadow follows form'), are used. The overall tone and purpose are distinctly spiritual, focusing on Buddhist ethical and soteriological teachings. There is evidence of indigenous Chinese philosophical concepts, such as Confucian ethics ('孝親敬君' filial piety and respect for the sovereign) in the '誨子經,' which suggests cultural adaptation and minor interpolations. The formulaic opening '聞如是' (Thus have I heard) and repetitive narrative structures indicate signs of oral transmission. Sentence subjects are often explicitly stated, more so than in purely classical Chinese texts, possibly influenced by the source language. The character 諸 (zhū) is consistently used to denote plural forms. As is typical for Classical Chinese, tense is left unspecified, relying on context and temporal markers.",
生經,T 154 (5),mixed,5,literary,literal,plain,verbose,False,spiritual,False,True,False,True,implicit,True,unspecified,False,False,False,"The translation style of Dharmarakṣa, a prominent figure in early Chinese Buddhist translations during the Western Jin dynasty, is evident. The text exhibits a literal approach, often reflecting the grammatical structures of the Indic source language, which can sometimes result in phrasing that is formal or slightly less fluent than later translations. The language is predominantly literary classical Chinese, employing established Buddhist terminology (e.g., '比丘', '羅漢', '菩薩') rather than interpreting concepts through indigenous Chinese philosophical frameworks. The descriptive language is generally plain, prioritizing clear transmission of complex Buddhist concepts over elaborate literary flourishes. The verbose nature, characterized by repetition of narrative frames (e.g., '乃往過去久遠世時') and elaborate explanations, is a hallmark of this period, likely reflecting the original Indic oral tradition. The text combines narrative prose with distinct verse sections (偈頌), resulting in a 'mixed' form, with verse lines most commonly having five syllables, though some seven-syllable lines also appear. The use of '聞如是' (Thus have I heard) and repetitive storytelling elements are strong indicators of oral transmission. Plurality is often indicated explicitly using '諸' (zhū), while verb tense is typically left unspecified, inferred from context or temporal adverbs. The final chapter, '佛說譬喻經', deviates from the consistent Jātaka narrative structure and appears to contain several short, didactic stories or parables, suggesting potential interpolations or compilations.",
海龍王經,T 598 (1),mixed,5,literary,literal,plain,verbose,False,spiritual,False,True,False,True,explicit,True,unspecified,False,False,False,"The text is a translation by Zhu Fahu (竺法護), a Central Asian monk active in the Western Jin dynasty. His translations are known for being quite literal and preserving the Indic style, which often involves a structured presentation, extensive lists, and repetitive phrases. The verse section is consistently 5 syllables per line, indicating a disciplined approach to meter in the translation. The prose sections, especially the long question-and-answer dialogues, contribute to the verbose nature. The language is literary and generally plain, prioritizing the clear conveyance of Buddhist doctrine over ornate embellishment or reliance on native Chinese idioms. While there might be minor expansions for clarity (interpolations), the core content introduces Buddhist concepts directly rather than interpreting them through indigenous Chinese philosophical frameworks. The frequent call-and-response format and repetition are strong indicators of features stemming from an oral tradition in the source text.",
海龍王經,T 598 (2),mixed,7,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is primarily prose, but includes distinct sections marked as '頌曰' (gatha/verse) or '以偈讚曰' (praises with a verse/hymn), making it a mixed format. The verse sections consistently feature seven syllables per line. The language is literary Chinese, employing classical structures and vocabulary rather than vernacular forms. The translation style tends to be quite literal, often reflecting the structure of the Indic source, which can result in repetitive phrasing (e.g., '是為四' or '無盡之藏，為總持也') and sometimes slightly less fluid syntax compared to later, more sinicized translations. While the vocabulary is elevated due to the subject matter, the overall presentation uses plain language without excessive ornamentation. The text is verbose, characterized by extensive enumerations, detailed explanations, and numerous examples, particularly in describing the attributes of '總持' or the spiritual correspondences of body parts. There are no apparent Chinese idioms. The tone is distinctly spiritual, focusing on Buddhist concepts, practices, and states of enlightenment. Buddhist teachings are presented directly, without obvious reinterpretation through indigenous Chinese philosophical concepts. There is no evidence of interlinear commentary or overt interpolations by the translator, though the highly repetitive and enumerative style might suggest some degree of expansion for clarity to a Chinese audience. The repetitive listing and somewhat formulaic phrasing are characteristic of texts that may have been transmitted orally at some stage. Abbreviations are not used. Sentence subjects are frequently implicit, relying on context for understanding. The adverb 諸 (zhū) is widely used to denote plural forms (e.g., '諸佛', '諸法'). Tense is generally left unspecified, a common feature of Classical Chinese and early Buddhist translations.",
海龍王經,T 598 (3),mixed,4,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The source text is typical of Indic sutras, featuring a mixture of prose and verse (gathas), a generally verbose style with enumerations, and a clear spiritual focus. The translation style by Dharmarakṣa (竺法護) is predominantly literal. This is evidenced by sentence structures that sometimes feel stiff in Chinese, direct repetitions of phrases, and a faithful rendering of the source's verbosity. The text uses classical Chinese (literary) rather than vernacular, with a plain language approach that prioritizes conveying the meaning without adding ornate Chinese literary flourishes. Idioms are not used. The tone is distinctly spiritual, employing terms like '三昧' (samādhi) and '道' for enlightenment. Buddhist teachings are presented directly and are not overtly reinterpreted through indigenous Chinese philosophical concepts. There are no clear interpolations or interlinear commentaries. Signs of oral transmission are evident through formulaic phrases, the inclusion of gathas, and the extended question-and-answer dialogues. Sentence subjects are frequently stated, reflecting the grammatical explicitness often found in Indic languages, even where classical Chinese might typically omit them. The character '諸' (zhū) is widely used to indicate plural forms. Tense is generally left unspecified, relying on context and temporal adverbs.",
海龍王經,T 598 (4),mixed,4,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,True,False,False,"The text is a mixed prose and verse translation from an Indic language, likely Sanskrit. It uses a literary Chinese style with formal vocabulary and classical particles. The translation leans towards literalness, evident in the frequent use of transliterated Buddhist terms (e.g., samādhi, bodhisattva, parinirvāṇa) and somewhat heavy or repetitive sentence structures that seem to follow the Indic original (e.g., '所以者何？'). The language is generally plain in prose, while the verse sections are more poetic. The text can be verbose due to repetitions for emphasis and extensive lists. No specific Chinese idioms are observed. The spiritual nature of the content is highlighted by the choice of terms. There is no reinterpretation through indigenous Chinese philosophical concepts. No interlinear commentary or clear interpolations were found. Signs of oral transmission are present through repetitive phrases ('爾時', '如是，如是！如仁所言！') and a dialogue-heavy structure. Abbreviations of Buddhist terms are common. Sentence subjects are often explicitly stated, which is more characteristic of Indic languages than typical Classical Chinese. The adverb '諸' is frequently used for pluralization. Tense is largely unspecified, relying on temporal markers and context.",
普超經,T 627 (1),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is primarily prose but includes two sections of gathas (verses), consistently featuring five syllables per line. The language used is literary Chinese, rather than vernacular, but often exhibits characteristics of 'translationese,' indicating a literal approach to rendering the Indic source text. This sometimes results in less fluent Chinese syntax and verbose wording, characterized by repetitive phrases and long enumerations. The language is plain, prioritizing direct conveyance of meaning over ornate stylistic embellishment. There is no usage of indigenous Chinese idioms. The content is deeply spiritual, focusing on Buddhist doctrines, practices, and enlightenment, using terms like '三昧' (samādhi). While some Buddhist terms might align with existing Chinese vocabulary, there's no strong evidence of reinterpretation through indigenous Chinese philosophical concepts. There are no obvious interpolations by the translator or interlinear commentary. Signs of oral transmission are present, notably the opening phrase '聞如是' (Thus have I heard) and the frequent use of repetitive structures typical of oral discourse. Subjects are often left implicit when clear from context, a common feature of literary Chinese. The plural marker '諸' (zhu) is frequently used (e.g., '諸佛', '諸菩薩'). Tense is generally left unspecified, inferred from context rather than indicated by explicit verbal conjugations.",
普超經,T 627 (2),mixed,4,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is a mix of prose and verse. Verse lines typically have 4 or 5 syllables; 4 is chosen as a representative length. The language is Classical Chinese, characteristic of early Buddhist translations, and leans towards literal rendition of Indic source material, often resulting in lengthy and somewhat repetitive explanations (verbosity). Idioms are not prominently used. The subject matter and terminology are clearly spiritual. While early translations sometimes used indigenous Chinese concepts for interpretation (geyi), this text does not overtly demonstrate it. There are no interlinear commentaries or obvious interpolations by later hands. Signs of oral transmission are evident in repetitive phrases, formulaic descriptions, and mnemonic lists. Abbreviations are not used. Sentence subjects are frequently implicit, as is common in Classical Chinese. The plural marker '諸' (zhu) is used extensively. Tense is generally unspecified, inferred from context or temporal adverbs.",
普超經,T 627 (3),mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,True,True,implicit,True,unspecified,False,False,False,"This text is a translation by竺法護 (Dharmarakṣa) from the Western Jin dynasty, known for his literal translation style from Indic languages. The translation generally adheres closely to the structure and often the word order of the original Indic text, which results in a less fluent but highly faithful Chinese rendition. The language is literary and formal, employing classical Chinese grammar. It is verbose, characterized by extensive repetitions of questions, answers, and detailed enumerations of concepts, which is typical of early Buddhist sūtras and their literal translations. The five-syllable verse structure in the gāthā section is a common feature of early Chinese Buddhist poetry. The tone is deeply spiritual, focusing on the nature of mind, liberation, and enlightenment, using transliterated Indic terms for key concepts. There is no significant evidence of reinterpretation through indigenous Chinese philosophical concepts. The inclusion of explanatory notes like ""(晉曰：集欲)"" within the text serves as interlinear commentary. The prevalence of formulaic phrases and repetitions also suggests an influence from oral transmission of the source text. The use of 諸 (zhū) to indicate plurals is prominent, and tense is generally left unspecified, relying on context.",
