term,term_introduced_by,document_frequency
墮色,Lokakṣema,5
和輪調,Lokakṣema,5
摩睺勒鬼神,Lokakṣema,5
清淨之戒,Lokakṣema,5
梵富樓天,Lokakṣema,5
出家為道者,Lokakṣema,5
道行品,Lokakṣema,5
九思,Lokakṣema,5
羅隣那竭,Lokakṣema,5
不學地,Lokakṣema,5
八惡處,Lokakṣema,5
亂比丘僧,Lokakṣema,5
白衣菩薩,Lokakṣema,5
惡道法,Lokakṣema,5
惡舌,Lokakṣema,5
正定菩薩,Mokṣala,5
最空,Mokṣala,5
種性住,Mokṣala,5
日燈三昧,Mokṣala,5
一行三昧,Mokṣala,5
轉還者,Mokṣala,5
提惒竭佛,Mokṣala,5
諸陀隣尼門,Mokṣala,5
三惡處,Mokṣala,5
總持諸波羅蜜,Mokṣala,5
必入辯才三昧,Mokṣala,5
然炬三昧,Mokṣala,5
逮無所得,Mokṣala,5
空中種樹,Mokṣala,5
無作空,Mokṣala,5
習緒盡,Mokṣala,5
山王須彌,Mokṣala,5
安立三昧,Mokṣala,5
血相,Mokṣala,5
無等等三昧,Mokṣala,5
愍念世間,Mokṣala,5
無礙之慧,Mokṣala,5
行性空,Mokṣala,5
天志,Mokṣala,5
作明三昧,Mokṣala,5
至竟空,Mokṣala,5
恒邊沙國土,Mokṣala,5
無成者,Mokṣala,5
青瘀相,Mokṣala,5
度諸法三昧,Mokṣala,5
沙訶,Mokṣala,5
伊陀,Mokṣala,5
習想,Mokṣala,5
死志,Mokṣala,5
淨相三昧,Mokṣala,5
支解身體,Mokṣala,5
癡際,Mokṣala,5
凡愚人,Mokṣala,5
相法空,Mokṣala,5
命性,Mokṣala,5
不受其報,Mokṣala,5
諸法皆等,Mokṣala,5
無所受三昧,Mokṣala,5
五陰意,Mokṣala,5
那術億,Mokṣala,5
法常寂,Mokṣala,5
薩云若如,Mokṣala,5
三倒,Mokṣala,5
少於疾病,Mokṣala,5
觀印三昧,Mokṣala,5
不受女人身,Mokṣala,5
三世之慧,Mokṣala,5
無意意,Mokṣala,5
報施恩,Mokṣala,5
十善之行,Mokṣala,5
覆面舌相,Mokṣala,5
謙苦行,Mokṣala,5
審諦法,Mokṣala,5
無想正受,Sajghabhūti and Zhu Fonian,5
結縛使惱纏,Sajghabhūti and Zhu Fonian,5
不驚懼,Sajghabhūti and Zhu Fonian,5
非我行,Sajghabhūti and Zhu Fonian,5
聚揵度,Sajghabhūti and Zhu Fonian,5
道船,Sajghabhūti and Zhu Fonian,5
苦習趣道,Sajghabhūti and Zhu Fonian,5
三識住,Sajghabhūti and Zhu Fonian,5
見揵度,Sajghabhūti and Zhu Fonian,5
涅槃海,Sajghabhūti and Zhu Fonian,5
色愛已盡,Sajghabhūti and Zhu Fonian,5
樂痛苦痛不苦不樂痛,Sajghabhūti and Zhu Fonian,5
著欲者,Sajghabhūti and Zhu Fonian,5
道出要,Sajghabhūti and Zhu Fonian,5
學阿羅漢,Sajghabhūti and Zhu Fonian,5
火一切入,Sajghabhūti and Zhu Fonian,5
貪習趣道,Sajghabhūti and Zhu Fonian,5
苦盡趣道,Sajghabhūti and Zhu Fonian,5
劫初人,Sajghabhūti and Zhu Fonian,5
不貪性,Sajghabhūti and Zhu Fonian,5
斷有相續,Sajghabhūti and Zhu Fonian,5
行揵度,Sajghabhūti and Zhu Fonian,5
妙願智,Sajghabhūti and Zhu Fonian,5
欲有漏心解脫,Sajghabhūti and Zhu Fonian,5
平等身,Sajghabhūti and Zhu Fonian,5
毒刀,Sajghabhūti and Zhu Fonian,5
六十二界,Sajghabhūti and Zhu Fonian,5
猶豫疑,Sajghabhūti and Zhu Fonian,5
均頭沙彌,Sajghabhūti and Zhu Fonian,5
有色不可見無對,Sajghabhūti and Zhu Fonian,5
八苦相,Sajghabhūti and Zhu Fonian,5
五恚,Sajghabhūti and Zhu Fonian,5
末那,Sajghabhūti and Zhu Fonian,5
世俗義,Sajghabhūti and Zhu Fonian,5
無餘斷捨,Sajghabhūti and Zhu Fonian,5
鞞婆闍婆提,Sajghabhūti and Zhu Fonian,5
有盡趣道,Sajghabhūti and Zhu Fonian,5
泥犁火,Sajghabhūti and Zhu Fonian,5
眼更愛,Sajghabhūti and Zhu Fonian,5
法智忍,Sajghabhūti and Zhu Fonian,5
色愛著,Sajghabhūti and Zhu Fonian,5
息跡,Sajghabhūti and Zhu Fonian,5
愛戲,Sajghabhūti and Zhu Fonian,5
慈心解脫,Sajghabhūti and Zhu Fonian,5
無漏三昧,Sajghabhūti and Zhu Fonian,5
六依,Sajghabhūti and Zhu Fonian,5
諦果,Sajghabhūti and Zhu Fonian,5
雜濁,Sajghabhūti and Zhu Fonian,5
有習趣道,Sajghabhūti and Zhu Fonian,5
欲愛身縛,Sajghabhūti and Zhu Fonian,5
趣義,Sajghabhūti and Zhu Fonian,5
十善行迹,Sajghabhūti and Zhu Fonian,5
刀利,Sajghabhūti and Zhu Fonian,5
白一切入,Sajghabhūti and Zhu Fonian,5
如來說二,Sajghabhūti and Zhu Fonian,5
世間成敗,Sajghabhūti and Zhu Fonian,5
出世行,Sajghabhūti and Zhu Fonian,5
無愧纏,Sajghabhūti and Zhu Fonian,5
迦栴延子,Sajghabhūti and Zhu Fonian,5
味相應初禪,Sajghabhūti and Zhu Fonian,5
欲扼,Sajghabhūti and Zhu Fonian,5
諸方便行,Sajghabhūti and Zhu Fonian,5
人惡趣,Sajghabhūti and Zhu Fonian,5
五解脫入,Sajghabhūti and Zhu Fonian,5
知時語,Sajghabhūti and Zhu Fonian,5
無欲為妙,Saṃghadeva,5
善趣向,Saṃghadeva,5
無所有定,Saṃghadeva,5
耳愛,Saṃghadeva,5
意曲,Saṃghadeva,5
道諦斷,Saṃghadeva,5
筋相連,Saṃghadeva,5
言聲具了,Saṃghadeva,5
生死為穢,Saṃghadeva,5
不使人畏,Saṃghadeva,5
憂住,Saṃghadeva,5
無恡,Saṃghadeva,5
惡不善之念,Saṃghadeva,5
無求無欲,Saṃghadeva,5
黑齒,Saṃghadeva,5
比丘要,Saṃghadeva,5
毀呰欲為災患,Saṃghadeva,5
三妙行,Saṃghadeva,5
第四業,Saṃghadeva,5
趣智趣覺,Saṃghadeva,5
婬盡,Saṃghadeva,5
無欲覺,Saṃghadeva,5
順耳入心,Saṃghadeva,5
七覺寶,Saṃghadeva,5
後四除入,Saṃghadeva,5
內止,Saṃghadeva,5
外結,Saṃghadeva,5
智證通,Saṃghadeva,5
舌更愛,Saṃghadeva,5
惡聲逆耳,Saṃghadeva,5
不解脫心,Saṃghadeva,5
苦滅盡,Saṃghadeva,5
心心所念法,Saṃghadeva,5
闇入闇,Saṃghadeva,5
地一切處,Saṃghadeva,5
盡漏者,Saṃghadeva,5
煩惱所使,Saṃghadeva,5
想知滅定,Saṃghadeva,5
身口惡行,Saṃghadeva,5
有慙有愧,Saṃghadeva,5
無漏無色定,Saṃghadeva,5
道品白淨,Saṃghadeva,5
不作群黨,Saṃghadeva,5
結使犍度,Saṃghadeva,5
哭地獄,Saṃghadeva,5
梵世界,Saṃghadeva,5
無漏界,Saṃghadeva,5
無欲知,Saṃghadeva,5
斷我慢,Saṃghadeva,5
耳思,Saṃghadeva,5
可敬可重,Saṃghadeva,5
契經品,Saṃghadeva,5
捨離於欲,Saṃghadeva,5
無上醫王,Saṃghadeva,5
無上愛盡,Saṃghadeva,5
明見深達,Saṃghadeva,5
初四除入,Saṃghadeva,5
身無教,Saṃghadeva,5
士精進,Saṃghadeva,5
上息,Saṃghadeva,5
右脅而臥,Saṃghadeva,5
無想天處,Saṃghadeva,5
垢色,Saṃghadeva,5
習相應品,Saṃghadeva,5
口無教,Saṃghadeva,5
見逆,Saṃghadeva,5
離綺語斷綺語,Saṃghadeva,5
離者欲合,Saṃghadeva,5
釋問經,Saṃghadeva,5
立正念正智,Saṃghadeva,5
惡不善念,Saṃghadeva,5
空處想,Saṃghadeva,5
過去道,Saṃghadeva,5
捨戒還家,Saṃghadeva,5
雙道,Saṃghadeva,5
令不得定,Saṃghadeva,5
中界,Saṃghadeva,5
修行道法,Saṃghadeva,5
釋種族,Saṃghadeva,5
黑有黑報,Saṃghadeva,5
樂住遠離,Saṃghadeva,5
令他得定,Saṃghadeva,5
清和柔潤,Saṃghadeva,5
馬師比丘,Saṃghadeva,5
龍國,Saṃghadeva,5
賢觀,Saṃghadeva,5
惡趣道,Saṃghadeva,5
明已生,Saṃghadeva,5
七覺法,Saṃghadeva,5
斷過中食,Saṃghadeva,5
作慢,Saṃghadeva,5
心無蓋,Saṃghadeva,5
世俗初禪,Saṃghadeva,5
見習盡道斷,Saṃghadeva,5
內靜,Saṃghadeva,5
修習道品,Saṃghadeva,5
三法門,Saṃghadeva,5
命行盡,Saṃghadeva,5
釋羇瘦,Saṃghadeva,5
色無色界繫緣,Saṃghadeva,5
不味色,Saṃghadeva,5
使他苦惱,Saṃghadeva,5
斷捨吐盡,Saṃghadeva,5
恚取,Saṃghadeva,5
無智無見,Saṃghadeva,5
止息說,Saṃghadeva,5
縫合,Saṃghadeva,5
愧財,Saṃghadeva,5
不樂群黨,Saṃghadeva,5
說知足,Saṃghadeva,5
聖所譽,Saṃghadeva,5
聖所見,Saṃghadeva,5
得皮,Saṃghadeva,5
有對更,Saṃghadeva,5
涅槃第一樂,Saṃghadeva,5
思品,Saṃghadeva,5
聖求,Saṃghadeva,5
漏滅盡,Saṃghadeva,5
不黑不白無報,Saṃghadeva,5
欲界苦諦所斷,Saṃghadeva,5
聖忍,Saṃghadeva,5
斷綺語,Saṃghadeva,5
欲著欲,Saṃghadeva,5
佛圖主,Saṃghadeva,5
無量心解脫,Saṃghadeva,5
離色得無色,Saṃghadeva,5
致涅槃,Saṃghadeva,5
欲為災患,Saṃghadeva,5
鼻更,Saṃghadeva,5
心及心數法,Saṃghadeva,5
四住處,Saṃghadeva,5
四梵室,Saṃghadeva,5
無上調御士,Saṃghadeva,5
無學行,Saṃghadeva,5
識處愛,Saṃghadeva,5
摩竭陀國,Saṃghadeva,5
斷華鬘瓔珞塗香脂粉,Saṃghadeva,5
化化作,Saṃghadeva,5
無食樂,Saṃghadeva,5
沙門垢,Saṃghadeva,5
不動心解脫,Saṃghadeva,5
十惡業道,Saṃghadeva,5
離過中食,Saṃghadeva,5
口護,Saṃghadeva,5
端正法,Saṃghadeva,5
歡喜無恡,Saṃghadeva,5
辯才說法,Saṃghadeva,5
無學正智,Saṃghadeva,5
離非時食,Saṃghadeva,5
六種因,Saṃghadeva,5
堪耐心,Saṃghadeva,5
口穢,Saṃghadeva,5
尸攝惒林,Saṃghadeva,5
愛盛,Saṃghadeva,5
不苦不樂身,Saṃghadeva,5
無覺少觀,Saṃghadeva,5
廣攝,Saṃghadeva,5
第二禪定,Saṅghabhadra,5
耳念,Saṅghabhadra,5
初禪法,Saṅghabhadra,5
戒為平地,Saṅghabhadra,5
觀苦空無我,Saṅghabhadra,5
天帝釋宮,Saṅghabhadra,5
觀一切色,Saṅghabhadra,5
身靜,Saṅghabhadra,5
六樂,Saṅghabhadra,5
貪瞋恚癡,Saṅghabhadra,5
展轉淨,Saṅghabhadra,5
娑那,Saṅghabhadra,5
諸釋女,Saṅghabhadra,5
聖利法,Saṅghabhadra,5
愛盡比丘,Saṅghabhadra,5
白淨飯王,Saṅghabhadra,5
佛房,Saṅghabhadra,5
出品,Saṅghabhadra,5
慚愧比丘,Saṅghabhadra,5
善罪,Saṅghabhadra,5
擲去,Saṅghabhadra,5
高閣講堂,Saṅghabhadra,5
強法,Saṅghabhadra,5
一部眾,Saṅghabhadra,5
師師相承,Saṅghabhadra,5
聞突吉羅,Saṅghabhadra,5
屏處聽,Saṅghabhadra,5
梵天宮殿,Saṅghabhadra,5
壞比丘尼,Saṅghabhadra,5
正識,Saṅghabhadra,5
騫陀迦,Saṅghabhadra,5
八知,Saṅghabhadra,5
念禪定,Saṅghabhadra,5
村界,Saṅghabhadra,5
功德根,Saṅghabhadra,5
那㝹,Saṅghabhadra,5
頭陀比丘,Saṅghabhadra,5
本起因緣,Saṅghabhadra,5
比丘尼教誡,Saṅghavarman,5
瓶蓋,Saṅghavarman,5
大叫呼,Saṅghavarman,5
不知諍,Saṅghavarman,5
舉罪比丘,Saṅghavarman,5
清淨同見,Saṅghavarman,5
貪止,Saṅghavarman,5
實覓罪,Saṅghavarman,5
五種種,Saṅghavarman,5
施酒,Saṅghavarman,5
解脫利,Saṅghavarman,5
揩脚物,Saṅghavarman,5
三十九夜,Saṅghavarman,5
達摩提那,Saṅghavarman,5
如法不和合,Saṅghavarman,5
堂淨,Saṅghavarman,5
聚落淨,Saṅghavarman,5
行上座,Saṅghavarman,5
二指淨,Saṅghavarman,5
說依止,Saṅghavarman,5
增一中,Saṅghavarman,5
口業慈,Saṅghavarman,5
性住比丘,Saṅghavarman,5
隨順擯比丘,Saṅghavarman,5
覆藏麁罪,Saṅghavarman,5
本不和合人,Saṅghavarman,5
戶橝,Saṅghavarman,5
百苦,Saṅghavarman and Baoyun,5
法方便力,Saṅghavarman and Baoyun,5
眾緣力,Saṅghavarman and Baoyun,5
捨正受,Saṅghavarman and Baoyun,5
苦智生,Saṅghavarman and Baoyun,5
命終心,Saṅghavarman and Baoyun,5
貪瞋恚邪見,Saṅghavarman and Baoyun,5
宿業果,Saṅghavarman and Baoyun,5
樂受貪,Saṅghavarman and Baoyun,5
淳淨心,Saṅghavarman and Baoyun,5
使門,Saṅghavarman and Baoyun,5
阿羅漢般涅槃,Saṅghavarman and Baoyun,5
耳鼻舌根,Saṅghavarman and Baoyun,5
煩惱退,Saṅghavarman and Baoyun,5
婬貪,Saṅghavarman and Baoyun,5
僧福田,Saṅghavarman and Baoyun,5
無學果,Saṅghavarman and Baoyun,5
真實凡夫,Saṅghavarman and Baoyun,5
輸門義,Saṅghavarman and Baoyun,5
一味解脫,Saṅghavarman and Baoyun,5
無漏五陰,Saṅghavarman and Baoyun,5
眾生業力,Saṅghavarman and Baoyun,5
見道十五心,Saṅghavarman and Baoyun,5
頓斷,Saṅghavarman and Baoyun,5
無遮道法,Sengqu,5
無往反,Vighna and Zhi Qian,5
意財,Vighna and Zhi Qian,5
截流渡,Vighna and Zhi Qian,5
慳意,Vighna and Zhi Qian,5
正習,Vighna and Zhi Qian,5
放逸品,Vighna and Zhi Qian,5
罪縛,Vighna and Zhi Qian,5
學難,Vighna and Zhi Qian,5
廟堂,Yan Fotiao and An Xuan,5
擇智,Yan Fotiao and An Xuan,5
不麁言,Yan Fotiao and An Xuan,5
無主想,Yan Fotiao and An Xuan,5
智慧如海,Zhi Qian,5
習增上,Zhi Qian,5
二禪行,Zhi Qian,5
不捨樂,Zhi Qian,5
不婬戒,Zhi Qian,5
四諦行,Zhi Qian,5
女弟子,Zhi Qian,5
不犯他人婦女,Zhi Qian,5
釋家子,Zhi Qian,5
忍辱之心,Zhi Qian,5
諦受學,Zhi Qian,5
存亡自在,Zhi Qian,5
極妙天,Zhi Qian,5
解道意,Zhi Qian,5
慳貪意,Zhi Qian,5
賢首菩薩,Zhi Qian,5
悲世間,Zhi Qian,5
須彌燈王如來,Zhi Qian,5
六世尊,Zhi Qian,5
坐禪念定,Zhi Qian,5
三轉法輪,Zhi Qian,5
邪受,Zhi Qian,5
迦留羅王,Zhi Qian,5
至精進,Zhi Qian,5
法之想,Zhi Qian,5
水微天,Zhi Qian,5
廓然大悟,Zhi Qian,5
水音天,Zhi Qian,5
十神力,Zhi Qian,5
淨明天,Zhi Qian,5
一切不受,Zhi Qian,5
鐵垣,Zhi Qian,5
寶首菩薩,Zhi Qian,5
向無想,Zhi Qian,5
勞諍,Zhi Qian,5
佛子行,Zhi Qian,5
不還受,Zhi Qian,5
佛迹,Zhi Qian,5
不除法,Zhi Qian,5
度世仙,Zhi Qian,5
天龍鬼神王,Zhi Qian,5
邪著,Zhi Qian,5
人如化,Zhi Qian,5
三十七道品之行,Zhi Qian,5
無上正真覺,Zhi Qian,5
空要,Zhi Yao,5
五蔽,Zhi Yao,5
法輪常轉,Zhi Yao,5
四止,Zhi Yao,5
四輩人,Zhi Yao,5
祐眾,Zhi Yao,5
福救,Zhi Yao,5
金體,Zhi Yao,5
觀音,Zhi Yao,5
無相處,Zhiyan and Baoyun,5
竊法,Zhiyan and Baoyun,5
謗比丘僧,Zhiyan and Baoyun,5
大莊嚴者,Zhiyan and Baoyun,5
受相空,Zhiyan and Baoyun,5
昇座,Zhiyan and Baoyun,5
菩提戒,Zhiyan and Baoyun,5
眾生界空,Zhiyan and Baoyun,5
憂惱箭,Zhiyan and Baoyun,5
寂靜聲,Zhiyan and Baoyun,5
阿羅漢想,Zhiyan and Baoyun,5
諸法平等相,Zhiyan and Baoyun,5
不生增減,Zhiyan and Baoyun,5
空不可取,Zhiyan and Baoyun,5
辟支佛想,Zhiyan and Baoyun,5
法性虛,Zhiyan and Baoyun,5
誣佛,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
欲盛變心,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
盡形壽不犯,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
白二羯磨捨,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
僧淨人,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
深理,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
赤肉,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
青木香,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
娑竭陀,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
愚闇無知,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
三屍,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
行籌人,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
僧果,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
波旬國,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
偷羅遮罪,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
僧跋,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
惡瞋故,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
異分中取片,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
阿夷羅河,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
行僧事,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
作自恣人,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
半月布薩,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
得道相,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
性醎,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
諸佛常所說法,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
蘇摩鉢,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
瞋欲,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
出家無著,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
拘舍彌國,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
貫頭,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
十七群童子,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
編髮梵志,"Zhu Daosheng, Shi Huiyan, and Buddhajīva",5
四地菩薩,Zhu Fonian,5
地獄陰,Zhu Fonian,5
一死一生,Zhu Fonian,5
弊友,Zhu Fonian,5
五翳,Zhu Fonian,5
本末淨,Zhu Fonian,5
四果證,Zhu Fonian,5
深奧之藏,Zhu Fonian,5
青衣鬼,Zhu Fonian,5
八無閑處,Zhu Fonian,5
諸欲愛,Zhu Fonian,5
愛箭,Zhu Fonian,5
進趣行,Zhu Fonian,5
施無施,Zhu Fonian,5
慧珍,Zhu Fonian,5
不永滅度,Zhu Fonian,5
平等如稱,Zhu Fonian,5
恒伽水,Zhu Fonian,5
身相眾好,Zhu Fonian,5
出家威儀,Zhu Fonian,5
定意正受三昧,Zhu Fonian,5
四住地,Zhu Fonian,5
摩訶般若鈔經,Zhu Fonian,5
竹園迦蘭陀,Zhu Fonian,5
奇特之法,Zhu Fonian,5
內外六情,Zhu Fonian,5
無淫怒癡,Zhu Fonian,5
不壞法相,Zhu Fonian,5
本性自然,Zhu Fonian,5
陰根,Zhu Fonian,5
神足通,Zhu Fonian,5
頭目髓腦國城妻子,Zhu Fonian,5
無佛法眾,Zhu Fonian,5
味更,Zhu Fonian,5
反復心,Zhu Fonian,5
解脫無餘,Zhu Fonian,5
法戒成就,Zhu Fonian,5
大焰,Zhu Fonian,5
四梵堂,Zhu Fonian,5
分別眾生心,Zhu Fonian,5
二住地,Zhu Fonian,5
學無所學,Zhu Fonian,5
空寂無形,Zhu Fonian,5
空無想無願之法,Zhu Fonian,5
八解脫法,Zhu Fonian,5
自投歸命,Zhu Fonian,5
出舌相光明,Zhu Fonian,5
戒學行,Zhu Fonian,5
慳貪獨食,Zhu Fonian,5
端心正意,Zhu Fonian,5
我品,Zhu Fonian,5
沈翳,Zhu Fonian,5
無明本,Zhu Fonian,5
三患,Zhu Fonian,5
盡音,Zhu Fonian,5
地獄形,Zhu Fonian,5
滓穢,Zhu Fonian,5
道藥,Zhu Fonian,5
悔過心,Zhu Fonian,5
妙要,Zhu Fonian,5
若干道,Zhu Fonian,5
七寶殿堂,Zhu Fonian,5
世垢,Zhu Fonian,5
平等無二心,Zhu Fonian,5
除去貢高,Zhu Fonian,5
信心成就,Zhu Fonian,5
嗔恚,Zhu Fonian,5
三地菩薩,Zhu Fonian,5
不二行,Zhu Fonian,5
智明慧,Zhu Fonian,5
無相道,Zhu Fonian,5
諸佛印,Zhu Fonian,5
那術眾生,Zhu Fonian,5
無我自然,Zhu Fonian,5
三毒根本,Zhu Fonian,5
有常之想,Zhu Fonian,5
六十四變,Zhu Fonian,5
中般泥洹,Zhu Fonian,5
計常想,Zhu Fonian,5
出息入息念,Zhu Fonian,5
非有想無想,Zhu Fonian,5
幻化之法,Zhu Fonian,5
意念清淨,Zhu Fonian,5
定意自在,Zhu Fonian,5
永寂無為,Zhu Fonian,5
轉輪法,Zhu Fonian,5
四大諸種,Zhu Fonian,5
婆羅㮈國,Zhu Fonian,5
無極之哀,Zhu Fonian,5
釋種沙門,Zhu Fonian,5
習無所習,Zhu Fonian,5
隨行所墮,Zhu Fonian,5
有著法,Zhu Fonian,5
定意法門,Zhu Fonian,5
變易不住,Zhu Fonian,5
宮殿七寶,Zhu Fonian,5
前世後世,Zhu Fonian,5
五地菩薩,Zhu Fonian,5
鹿戒,Zhu Fonian,5
無染著心,Zhu Fonian,5
羅閱祇迦蘭陀竹園,Zhu Fonian,5
宿惡殃,Zhu Fonian,5
七定,Zhu Fonian,5
乾地,Zhu Fonian,5
無生道,Zhu Fonian,5
受生分,Zhu Fonian,5
懷來道故,Zhu Fonian,5
樂法之樂,Zhu Fonian,5
正心解脫,Zhu Fonian,5
不思議行,Zhu Fonian,5
施行佛事,Zhu Fonian,5
坐禪定意,Zhu Fonian,5
脫縛,Zhu Fonian,5
神通得道,Zhu Fonian,5
無礙地,Zhu Fonian,5
八住菩薩,Zhu Fonian,5
觀不淨想,Zhu Fonian,5
數息法,Zhu Fonian,5
凡夫學人,Zhu Fonian,5
諸法相貌,Zhu Fonian,5
蛇脫故皮,Zhu Fonian,5
六通羅漢,Zhu Fonian,5
微妙定,Zhu Fonian,5
痛意止,Zhu Fonian,5
七覺意法,Zhu Fonian,5
塵勞患,Zhu Fonian,5
無形相法,Zhu Fonian,5
法成就如來,Zhu Fonian,5
無上等正覺道,Zhu Fonian,5
世幻,Zhu Fonian,5
起滅之處,Zhu Fonian,5
六時行道,Zhu Fonian,5
轉其法輪,Zhu Fonian,5
憂曇鉢,Zhu Fonian,5
相好自嚴,Zhu Fonian,5
空無所有性,Zhu Fonian,5
無想有想,Zhu Fonian and Buddhapalita,5
聖事,Zhu Fonian and Buddhapalita,5
中間般涅槃,Zhu Fonian and Buddhapalita,5
鍼口,Zhu Fonian and Buddhapalita,5
知他意,Zhu Fonian and Buddhapalita,5
大音樂,anonymous,5
懈怠比丘,anonymous,5
滅思惟,anonymous,5
無我有我想,anonymous,5
至梵自在,anonymous,5
八萬四千諸三昧門,anonymous,5
真無量,anonymous,5
若法非法,anonymous,5
虛偽不實,anonymous,5
盜食,anonymous,5
菩薩行事,anonymous,5
福根,anonymous,5
種種識,anonymous,5
一切種智觀,anonymous,5
法難得聞,anonymous,5
真實沙門,anonymous,5
五逆十惡,anonymous,5
宛轉生死,anonymous,5
智慧無減,anonymous,5
三無相,anonymous,5
歡喜滅,anonymous,5
無空言,anonymous,5
十護,anonymous,5
兩舌心,anonymous,5
刀兵劫起,anonymous,5
天眼力,anonymous,5
似人形神,anonymous,5
返俗,anonymous,5
斫迦羅山,anonymous,5
不淨有淨想,anonymous,5
遵慈,anonymous,5
七惡,anonymous,5
飾華,anonymous,5
清涼法,anonymous,5
三毒苦,anonymous,5
歡喜忍,anonymous,5
捨凡夫性,anonymous,5
犯他人婦女,anonymous,5
秋露子,anonymous,5
忍德,anonymous,5
法之印,anonymous,5
業所生,anonymous,5
聖訓,anonymous,5
結使法,anonymous,5
偷僧祇物,anonymous,5
鷂山,anonymous,5
東方天王提頭賴吒,anonymous,5
比丘僧使,anonymous,5
銅輪,anonymous,5
師子頰車,anonymous,5
燈炎,anonymous,5
三世本,anonymous,5
諸天作樂,anonymous,5
齋肅,anonymous,5
極過度,anonymous,5
妖冶,anonymous,5
寶月菩薩,anonymous,5
隨行受報,anonymous,5
定歡喜,anonymous,5
五道勤苦,anonymous,5
都講,anonymous,5
使海,anonymous,5
賢聖明,anonymous,5
惡論,anonymous,5
脫止不受死,anonymous,5
斷愛習,anonymous,5
三界明,anonymous,5
三界眾生類,anonymous,5
一制,anonymous,5
白鵝王,anonymous,5
外觀身,anonymous,5
梵釋諸天,anonymous,5
二制,anonymous,5
衣鉢隨身,anonymous,5
齋戒清淨,anonymous,5
布施滿,anonymous,5
摩訶摩耶,anonymous,5
六合,anonymous,5
善覺菩薩,anonymous,5
戒利益,anonymous,5
六通無礙,anonymous,5
下重擔,anonymous,5
慷慨,anonymous,5
闓士道,anonymous,5
五種親屬,anonymous,5
撾罵不還報,anonymous,5
四藏,anonymous,5
已快,anonymous,5
內思安般,anonymous,5
眾生果報,anonymous,5
舍利弗影,anonymous,5
歌詠聲,anonymous,5
辱道,anonymous,5
陀鬼神,anonymous,5
五夢,anonymous,5
諸惡本,anonymous,5
紫磨金色身,anonymous,5
無命無意,anonymous,5
同真際,anonymous,5
修道教,anonymous,5
華帳,anonymous,5
蓮華師子座,anonymous,5
聖慧力,anonymous,5
棄定,anonymous,5
宿請,anonymous,5
神通妙達,anonymous,5
如來證,anonymous,5
本治,anonymous,5
黠意,anonymous,5
江迦葉,anonymous,5
百一羯磨,anonymous,5
勤化眾生,anonymous,5
佛智地,anonymous,5
須陀洹天,anonymous,5
威儀欲,anonymous,5
不可依止,anonymous,5
長精進,anonymous,5
善順思惟,anonymous,5
佛聖尊,anonymous,5
三假,anonymous,5
善住菩薩,anonymous,5
三解脫道,anonymous,5
廬館,anonymous,5
無記無明,anonymous,5
變謀明慧,anonymous,5
弊邪,anonymous,5
佛愁,anonymous,5
聞城,anonymous,5
不還世間,anonymous,5
內外觀身,anonymous,5
觀身體,anonymous,5
非智緣滅,anonymous,5
法之寶,anonymous,5
等法性,anonymous,5
稽首佛足作禮,anonymous,5
恒邊沙人,anonymous,5
大林精舍,anonymous,5
齋食,anonymous,5
正覺王,anonymous,5
斷嫉,anonymous,5
雲臺,anonymous,5
大網,anonymous,5
少臥,anonymous,5
俗戒,anonymous,5
色蓋,anonymous,5
闓士大士,anonymous,5
婬解脫,anonymous,5
怨親平等,anonymous,5
佛十八法不共,anonymous,5
如來之智,anonymous,5
