CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,error,correction
放鉢經,T 629,4158,False,False,False,False,0,16,0,5,1,0,5,"Got a non-integer output from the model for 耶: The character '耶' appears in the text in two contexts that might be relevant to the question, in addition to being part of proper names (like 賴毘羅耶 and 惹那羅耶):

1.  **[0449c19] 須臾頃便火出，是火泥犁火耶？**
    *   Context: ""諸菩薩問佛：「...是火泥犁火耶？」"" (The bodhisattvas asked the Buddha: ""...is this fire the Naraka fire?"")
    *   This is a clear yes/no question, ending with '耶' as an interrogative particle. This instance counts.

2.  **[0451a20] 文殊何以故，在佛前不成佛耶？**
    *   Context: ""忉利天上二百菩薩自念：「...文殊何以故，在佛前不成佛耶？」"" (Two hundred bodhisattvas in the Trayastriṃśa heaven thought to themselves: ""...Why is it that Mañjuśrī, being before the Buddha, does not attain Buddhahood?"")
    *   This is a question asking ""why"" (何以故), and '耶' functions as a general interrogative particle. However, it is not a ""yes or no question"" (which typically expects a 'yes' or 'no' answer) nor is it a ""final particle at the end of declarative sentences"". Based on the strict criteria provided in the prompt, this instance does not count.

No other instances of '耶' functioning as a final particle at the end of declarative sentences were found. The vast majority of '耶' occurrences are part of names.

Therefore, only one instance meets the specified criteria.

1
", Should be 1
法海經,T 34,1607,False,True,False,False,0,0,3,2,0,4,2,,
以身施餓虎經,T 172,6527,True,False,False,False,5,4,4,10,0,4,9,,
淨行經,T 579,20273,True,False,False,False,4,2,4,4,0,0,3,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences in the given text 3 times.

Here are the instances:

1.  **[0951c27] 勿須去也！**
    ""汝今年幼生長深宮，稟性柔軟，初未曾出，雪山玄遠，路險艱難，汝今云何當能到彼？吾國多有耆舊梵志，神智無二，善能宣說甚深妙法，我當為汝請入宮內，講論道法，恣汝所問，勿須去**也**！""
    (This is a declarative statement advising that there is no need to go.)

2.  **[0952a05] 爾時王女者，汝身是也；**
    ""爾時王女者，汝身是**也**；雪山梵志者即我身是。""
    (This is a declarative statement identifying the king's daughter.)

3.  **[0954c20] 得成二道，無有餘也。**
    ""大人之相有三十二，菩薩所修有二十行，與大人相合，得成二道，無有餘**也**。""
    (This is a declarative statement indicating nothing else remains.)

Therefore, the character ""也"" used as a final particle at the end of declarative sentences appears 3 times.
", Should be 3
金剛三昧經,T 273,17001,True,True,False,False,1,2,1,16,0,0,5,,
大愛道受誡經,T 1478,18551,False,False,False,False,3,8,23,99,2,10,0,"Got a non-integer output from the model for 也: HTTP error occurred: 500 Server Error: Internal Server Error for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent?key=***** - Response: {
  ""error"": {
    ""code"": 500,
    ""message"": ""An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting"",
    ""status"": ""INTERNAL""
  }
}

", Failed repeated for 也
長者法志妻經,T 572,2005,False,True,False,False,4,0,2,1,0,2,1,,
七智經,T 27,1151,False,True,False,False,0,0,5,1,0,0,1,,
難龍王經,T 597,14377,True,True,False,False,0,2,0,7,1,0,6,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences in the given text 6 times.

Here are the specific occurrences:

1.  [0566a03] 爾時，世尊告諸比丘：「此非人**也**！乃是龍王，汝可往喚。」
2.  [0569a01] 「汝見第二[土*瓦]者，非是[土*瓦]**也**，是地獄人。
3.  [0569a06] 「汝見第三[土*瓦]者，非是[土*瓦]**也**，是地獄人。
4.  [0569a11] 爾時，世尊復告僧護比丘：「汝見第一瓶者，非是瓶**也**，是地獄人。
5.  [0569a15] 「汝見第二瓶者，非是瓶**也**，是地獄人。
6.  [0569b14] 「汝見肉軒，非是軒**也**，是地獄人。

In all these cases, ""也"" acts as a final particle, affirming the preceding statement (""it is not X""). Although some are followed by a comma in modern punctuation, in classical Chinese, such a construction typically denotes the end of a declarative clause or unit of thought. The instance ""不愁悶也？"" (0566c06) is excluded as it is a question.

6
", Should be 6
三慧經,T 768,7597,False,False,False,False,0,4,4,3,2,1,3,,
阿難為蠱道呪經,T 551,1778,False,True,False,False,0,1,3,2,1,1,3,,
菩薩本行經,T 188,6974,False,False,False,False,0,11,5,5,5,3,5,,
太子辟羅經,T 596,1030,False,True,False,False,3,0,0,4,0,0,4,,
沙彌羅經,T 750,1017,False,False,False,False,0,1,2,0,1,2,0,,
八德經,T 35,1482,False,True,False,False,0,0,1,13,0,1,11,"Got a non-integer output from the model for 也: 1.  [0819a13] ...非爾俗夫所應坐處**也**。」 (This is a declarative sentence within a quote.)
2.  [0819a22] ...斯一德**也**。
3.  [0819a22] 海潮不過期先際，斯二德**也**。
4.  [0819a24] ...斯三德**也**。
5.  [0819b02] ...斯四德**也**。
6.  [0819b05] ...斯五德**也**。
7.  [0819b07] ...斯六德**也**。
8.  [0819b08] ...斯七德**也**。
9.  [0819b09] 海水通鹹，邊中如一，斯八德**也**。
10. [0819b14] ...猶海之潮不過期先際，斯二德**也**。(The ""也"" at 0819b13 ""不失其時也，"" is followed by a comma, indicating it's a clause, not the end of the sentence.)
11. [0819b17] ...猶海弘裕不容臭屍，斯三德**也**。

The ""也"" at [0819c11] ""恐彼神雷威怒加之也，"" is also followed by a comma, meaning it's a clause within a larger sentence, not the end of a declarative sentence itself.

Counting only those instances where ""也"" marks the definitive end of a declarative sentence (or a complete quote acting as such).

11
", Should be 11
大方便報恩經,T 156,75487,True,True,False,False,61,77,27,104,7,0,44,"Got a non-integer output from the model for 耶: The character '耶' appears at the end of questions or as a final particle in the given text in the following instances:

1.  **[0124c12] 頗有孝養父母不耶？** - This is a direct yes/no question.
2.  **[0124c13] 諸天神耶？** - This is a yes/no question.
3.  **[0124c13] 人耶？** - This is a yes/no question.
4.  **[0124c13] 非人耶？** - This is a yes/no question.
5.  **[0124c14] 汝為自以智力問於如來耶？** - This is a yes/no question.
6.  **[0133a21] 況於大藏錢財飲食耶？** - This is a rhetorical question that implies a yes/no answer (""is it not even more so?"").
7.  **[0134a02] 鬼魅所著耶？** - This is a direct yes/no question.

There are no instances of '耶' functioning as a final particle at the end of purely declarative sentences without an interrogative or rhetorical implication. Instances like ""為幾時耶？"" and ""復於何時當得解脫？"" were excluded because they ask for specific information (how long, when), not a yes/no answer.

Therefore, the total count is 7.

7
Got a non-integer output from the model for 耳: Error: Unexpected response structure or no content generated. Response: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 74121, 'totalTokenCount': 139656, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 74121}], 'thoughtsTokenCount': 65535}, 'modelVersion': 'gemini-2.5-flash', 'responseId': 'j0x9aIoUmaiq2w_8rJTIBQ'}
", Should be 7 - unable to complete the remainder of the analysis
分別功德經,T 1507,43094,False,True,False,False,7,107,81,276,24,14,0,"Got a non-integer output from the model for 也: Error: Unexpected response structure or no content generated. Response: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 41071, 'totalTokenCount': 106606, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 41071}], 'thoughtsTokenCount': 65535}, 'modelVersion': 'gemini-2.5-flash', 'responseId': '_099aIuBAZqaqtsPprjIiA0'}
", Cannot complete the analysis
道神足無極變化經,T 816,31911,False,True,False,True,2,47,8,12,5,0,11,"Got a non-integer output from the model for 也: The character ""也"" used as a final particle at the end of declarative sentences (or strong declarative clauses acting as complete statements) in the given text appears 11 times.

Here are the specific instances:

1.  **[0808b01]** 報言：「踊躍不可持，亦不可獲，是上踊躍。如不可獲，踊躍之 最**也**。」
2.  **[0811c03]** 「彼土如來 則我身是！我於彼間以法而教導。如是目連！如是比名為道神足無極變化**也**，一切弟子、辟支佛皆悉過其上。
3.  **[0812a11]** 佛言：「則我身是！我於彼間說法以教導人，如是名為道神 足無極之變化**也**。一切弟子及辟支佛去佛甚遠。
4.  **[0812b13]** 佛言：「彼佛則我身是，我於彼間以法而教導。如是比名為道神足 無極之變化**也**。非是羅漢、辟支佛所能及知。
5.  **[0813a04]** 佛言：「如是目連！彼世無恐懼施如來 則我身是！我於彼世界以法而教導。如是目連！如來名為道神足無極之變化**也**，一切弟子、緣一覺所不能持。
6.  **[0813b21]** 目連！彼世界如來則我身是！我於彼世界以法而教導。如是目連！名為如來道神足無極之變化**也**，一切諸弟子、緣一覺所不及知。
7.  **[0814a03]** 佛言：「則我身是！名 為如來道神足無極之變化**也**。是故目連！一切弟子、緣一覺所不能及知**也**。
8.  **[0814a03]** (continuation of 7) 一切弟子、緣一覺所不能及知**也**。
9.  **[0814b14]** 佛言：「如是目連！彼世界如來則我身是！我於彼土以法而教導，是名道神足無極之變化**也**，一切弟子、緣一覺所不能及知。
10. **[0815a05]** 佛言：「目連！彼佛則我身是！我於彼國以法教導人，名為如來權道神足無極之變化**也**，弟子、緣一覺所不能及知。
11. **[0816a23]** 其聞是者，不敢微意 言非是如來無極示現之變化**也**。

11
", Should be 11
羅摩伽經,T 294,41177,True,False,False,False,18,3,3,2,0,0,2,,
儒首菩薩無上清淨分衛經,T 234,16587,False,True,False,False,27,33,20,61,23,7,25,,
菩薩瓔珞本業經,T 1485,24683,True,False,False,False,0,1,2,0,0,0,0,,
興起行經,T 197,19795,False,True,False,False,5,16,21,35,4,14,284,"Got a non-integer output from the model for 耶: The character '耶' appears at the end of the following sentences:

1.  `看是道士，行於非法，應當爾耶？` (0165a12)
    *   ""應當爾耶？"" (Should it be so?) - This functions as a rhetorical question implying a ""yes"" or ""no"" answer. Counts as a yes/no question.

2.  `此女不殺人、亦不偷盜，直妄語，便墮阿鼻耶？` (0171b02)
    *   ""直妄語，便墮阿鼻耶？"" (Just by lying, does she fall into Avici hell?) - This is a direct yes/no question. Counts as a yes/no question.

3.  `王復問佛：「意不可見，云何獨繫意釘耶？」` (0171b11)
    *   ""云何獨繫意釘耶？"" (How is it bound by the will's nail alone?) - This is an information question (asking ""how""), not a yes/no question, nor is it a declarative sentence. Excluded.

4.  `本何以知身、口大，意為小；今方云意大，身口、小耶？` (0171c07)
    *   ""今方云意大，身口、小耶？"" (Now do you claim that intention is great, and body and speech are small?) - This is a direct yes/no question. Counts as a yes/no question.

5.  `佛復問王：「云何知意釘為大，身、口二事，繫於意釘耶？」` (0171c13)
    *   ""云何知意釘為大，身、口二事，繫於意釘耶？"" (How do you know that the will's nail is great, and body and speech are bound to it?) - This is an information question (asking ""how""), not a yes/no question, nor is it a declarative sentence. Excluded.

6.  `為可暫共見佛，便還耶。` (0172c29)
    *   ""為可暫共見佛，便還耶。"" (Can we go see the Buddha briefly, and then return?) - This is a direct yes/no question. Counts as a yes/no question.

All identified instances of '耶' at the end of a sentence function as part of a yes/no question. None of them function as a final particle at the end of a declarative sentence.

Therefore, the total count is 4.

4
", Should be 4
淨度三昧經,X 15,8879,False,True,False,False,2,6,5,3,2,2,1,,
未曾有因經,T 688,1991,True,False,False,False,2,3,0,0,0,0,0,,
摩訶摩耶經,T 383,17432,True,False,False,False,8,56,1,3,4,0,2,,
那先經,T 1670A,17484,False,False,False,False,16,66,36,8,51,26,0,"Got a non-integer output from the model for 也: Error: Unexpected response structure or no content generated. Response: {'candidates': [{'content': {'role': 'model'}, 'finishReason': 'MAX_TOKENS', 'index': 0}], 'usageMetadata': {'promptTokenCount': 17070, 'totalTokenCount': 82605, 'promptTokensDetails': [{'modality': 'TEXT', 'tokenCount': 17070}], 'thoughtsTokenCount': 65535}, 'modelVersion': 'gemini-2.5-flash', 'responseId': '71p9aIaRHK-qqtsPh6rG0Q0'}
", Unable to complete the analysis
舊譬喻經,T 206,21056,False,False,False,False,11,12,48,102,3,26,99,,
大比丘威儀經,T 1470,10771,False,False,False,False,0,1,0,0,0,0,0,,
觀無量壽經,T 365,9986,True,True,False,False,2,3,0,1,2,0,1,,
採華違王上佛授記妙華經,T 510,1196,False,False,False,False,2,0,1,0,0,1,0,,
佛心總持經,T 154 (19),1398,False,True,False,False,0,2,1,3,0,1,3,,
佛以三事笑經,T 152 (65),822,False,False,False,False,1,0,1,1,0,1,1,,
作佛形像經,T 692,1509,False,False,False,False,0,0,0,1,0,0,1,,
稱揚諸佛功德經,T 434,11465,False,True,False,False,0,0,0,4,0,0,1,,
八部佛名經,T 429,1599,False,True,False,False,0,1,0,1,0,0,1,,
觀藥王藥上二菩薩經,T 1161,9635,True,False,False,False,1,4,0,4,0,0,3,,
請觀世音經,T 1043,5937,True,False,False,False,0,9,4,2,0,0,2,,
文殊師利般涅槃經,T 463,2193,True,False,False,False,0,0,0,1,0,0,1,,
無垢施菩薩分別應辯經,T 310 (33),14603,True,False,False,False,4,44,7,7,29,3,0,,
無言菩薩經,T 397(6),17275,False,False,False,False,19,12,2,8,8,1,7,,
異出菩薩本起經,T 188,6974,False,False,False,False,0,11,5,5,6,3,5,"Got a non-integer output from the model for 耶: The character '耶' appears in the given text in the following instances that match the criteria:

1.  **[0618c20] 太子曰：「吾亦當復老耶？」**
    *   This is a direct yes/no question: ""Will I also grow old?"" (Can be answered with yes or no).
    *   Count: 1

2.  **[0619a07] 太子曰：「吾亦當死耶？」**
    *   This is a direct yes/no question: ""Will I also die?"" (Can be answered with yes or no).
    *   Count: 2

3.  **[0619a19] 亦好耶？」**
    *   This is a direct yes/no question: ""Is it also good?"" (Can be answered with yes or no).
    *   Count: 3

4.  **[0619a24] 不亦好耶？」**
    *   This is a direct yes/no question: ""Is it not also good?"" (Can be answered with yes or no).
    *   Count: 4

5.  **[0619c15] 我夫我夫！在天上地下人間耶？**
    *   This is an alternative question that functions as a yes/no query: ""Is he in heaven, on earth, or among humans?"" (Implies ""Is he in one of these places?"" which can be answered with yes/no).
    *   Count: 5

6.  **[0619c18] 吾子學道度世，不亦善耶！」**
    *   This is a rhetorical question, which functions as a declarative sentence with '耶' as a final particle expressing affirmation: ""Is it not also good!"" (Meaning: ""It is indeed good!"").
    *   Count: 6

The instance `[0618b02] 吾子將有何不善耶？` is an open-ended question (""What misfortune..."") using an interrogative pronoun `何`, and therefore not a yes/no question. It is also not a declarative sentence. Thus, it is not included in the count based on the specific criteria.

The final count is 6.

6
", Should be 6
大方廣菩薩十地經,T 308,3864,True,False,False,False,2,13,2,0,0,1,0,,
菩薩生地經,T 533,1613,False,True,False,False,1,2,0,3,2,0,3,,
諸菩薩求佛本業經,T 282,7418,False,True,False,False,2,0,0,0,0,0,0,,
菩薩受齋經,T 1502,1425,False,False,False,False,0,1,0,0,0,0,0,,
菩薩以明離鬼妻經,T 152 (85),667,False,False,False,False,0,0,0,1,0,0,1,,
六菩薩名經,T 491,615,False,False,False,False,0,0,0,0,0,0,0,,
迦葉赴佛泥洹經,T 393,1311,False,False,False,False,0,1,1,0,0,1,0,,
迦葉責阿難雙度羅漢喻經,T 2027,4560,False,True,False,False,4,2,5,3,1,2,3,,
摩訶迦葉度貧母經,T 497,2455,False,True,False,False,2,0,1,0,0,2,0,,
阿難同學經,T 149,1798,False,True,False,False,0,1,0,0,1,0,0,,
阿難問事佛吉凶經,T 492a,2747,False,True,False,False,2,3,1,4,2,0,4,,
迦旃延無常經,T 154 (17),1144,False,True,False,False,0,0,0,0,0,0,0,,
請賓頭盧法,T 1689,867,False,False,False,False,0,0,0,3,0,0,3,,
尊者薄拘羅經,T 26 (34),1426,False,True,True,False,0,3,0,0,3,0,0,,
尊者瞿低迦獨一思惟經,T 99 (1091),1046,True,False,False,False,0,0,0,0,0,0,0,,
優陀夷坐樹下寂靜調伏經,T 99 (253),1998,True,False,False,False,0,3,2,2,3,0,2,,
鴦掘髻經,T 119,3304,False,True,False,False,0,4,0,1,3,0,0,,
浮彌經,T 26 (173),2886,False,True,True,False,0,2,0,24,1,0,24,,
難提釋經,T 113,2084,True,True,False,False,1,0,0,0,0,0,0,,
調達教人為惡經,T 152 (69),356,False,False,False,False,0,0,0,2,0,0,2,,
瞻婆比丘經,T 64,1705,False,True,False,False,0,0,0,0,0,0,0,,
沙曷比丘功德,T 501,1377,False,True,False,False,0,3,1,0,0,1,0,,
分衛比丘經,T 154 (2),1417,False,True,False,False,0,0,0,0,0,0,0,,
比丘各言志經,T 154 (16),3104,False,True,False,False,28,0,0,0,0,0,0,,
比丘疾病經,T 154 (26),1161,False,True,False,False,0,3,0,4,3,0,3,,
比丘避女惡名欲自殺經,T 503,525,True,False,False,False,0,0,0,0,0,0,0,,
佛為年少比丘說正事經,T 502,1004,True,False,False,False,4,0,1,0,0,0,0,,
長者子六過出家經,T 134,1137,False,True,False,False,0,2,0,1,1,0,1,,
出家緣經,T 791,1053,True,False,False,False,0,0,0,0,0,0,0,,
瞿曇彌經,T 26 (116),4655,False,True,True,False,0,10,0,1,9,0,1,,
瞿曇彌記果經,T 60,3741,False,True,False,False,0,0,0,1,0,0,1,,
佛母般泥洹經,T 145,2433,False,True,False,False,1,5,1,12,1,1,9,,
比丘尼現變經,T 154 (43),566,False,False,False,False,1,0,0,0,0,0,0,,
旃闍摩暴志謗佛經,T 154 (9),699,False,True,False,False,0,0,0,1,0,0,1,,
優波離問佛經,T 1466,14654,False,False,False,False,0,1,0,10,0,0,4,,
沙彌威儀,T 1472,5300,False,False,False,False,0,0,2,1,0,3,1,,
沙彌尼戒,T 1474,2552,False,False,False,False,0,0,3,13,0,0,11,,
受十善戒經,T 1486,10797,True,False,False,False,0,2,8,0,2,0,0,,
優婆塞五戒經,T 1503,8901,False,False,False,False,0,1,0,1,0,0,0,,
弟子學有三輩經,T 767,1531,False,True,False,False,1,0,1,1,0,1,1,,
弟子死復生經,T 862,3648,False,True,False,False,0,9,4,0,8,1,0,,
頂生王故事經,T 39,3067,False,True,False,False,0,12,0,0,0,0,0,,
頻毘婆王詣佛供養經,T 133,2517,True,False,False,False,0,4,1,0,2,1,0,,
阿闍世王問五逆經,T 508,2938,False,True,False,False,0,2,0,0,2,0,0,,
阿闍世王受決經,T 509,2190,False,True,False,False,0,1,0,8,0,0,7,,
優填王經,T 332,2787,False,True,False,False,2,2,2,11,2,2,11,,
鏡面王經,T 152 (89),1228,False,True,False,False,0,0,2,0,0,0,0,,
察微王經,T 152 (90),1006,False,False,False,False,1,1,4,3,1,3,3,,
桀貪王經,T 198 (1),2709,False,True,False,False,2,0,0,3,0,0,1,,
薩羅王經,T 520,1944,False,False,False,False,2,0,0,0,0,0,0,,
國王五人經,T 152 (24),2995,False,True,False,False,1,0,1,0,0,1,0,,
舍頭諫太子二十八宿經,T 1301,16131,False,True,False,False,1,6,31,5,5,13,74,,
太子刷護經,T 343,2421,False,False,False,False,0,1,2,0,1,0,0,,
誨子經,T 154 (38),1654,False,False,False,False,2,0,4,1,0,4,1,,
五百幼童經,T 154 (33),639,False,True,False,False,1,0,0,0,0,0,0,,
逝童子經,T 527,1628,False,True,False,False,3,1,1,0,1,1,0,,
長者詣佛說子婦不恭經,T 143,2354,False,True,False,False,4,26,0,1,0,0,1,,
長者子制經,T 526,2282,False,True,False,False,0,0,3,5,0,2,0,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences in the given text 5 times.

Here are the instances:
1.  [0801a24] ""...便欲求作佛者不能得**也**""
2.  [0801b01] ""...千萬劫億萬劫，汝尚未能得佛**也**。""
3.  [0801b03] ""...我不用一飯食、衣被故求作佛**也**。""
4.  [0801b06] ""...汝欲求作佛，難得**也**。""
5.  [0801b19] ""...汝莫持汝天上意，自貢高**也**""

5
", Should be 5
長者子懊惱三處經,T 525,1292,False,True,False,False,0,1,0,0,1,0,0,,
十支居士八城人經,T 92,1529,False,True,False,False,0,0,0,0,0,0,0,,
婆羅門子命終愛念不離經,T 91,2218,False,True,False,False,0,6,0,0,6,0,0,,
婆羅門避死經,T 131,461,False,True,False,False,0,0,0,0,0,0,0,,
佛為黃竹園老婆羅門說學經,T 75,2076,False,True,False,False,0,0,0,0,0,0,0,,
審裸形子經,T 154 (27),2143,False,True,False,False,1,0,0,0,0,0,0,,
仙人撥劫經,T 154 (52),1033,False,True,False,False,0,0,0,0,0,0,0,,
五仙人經,T 154 (11),2235,False,True,False,False,3,2,2,6,1,0,6,,
光華梵志經,T 154 (14),895,False,True,False,False,0,0,0,0,0,0,0,,
梵志計水淨經,T 510,1052,False,True,False,False,0,0,0,1,0,0,1,,
前世諍女經,T 154 (7),869,False,True,False,False,0,0,0,1,0,0,1,,
三摩竭經,T 129,4299,False,True,False,False,1,1,2,7,1,2,4,,
摩鄧女經,T 1300,18426,True,False,False,False,1,17,6,7,7,0,5,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences 5 times in the given text.
", Should be 5
釋家畢罪經,T 152 (54),2563,False,False,False,False,1,0,1,13,0,0,13,,
殺身濟賈人經,T 152 (67),545,False,False,False,False,0,0,1,2,0,1,2,,
殺龍濟一國人經,T 152 (70),701,False,False,False,False,0,0,0,4,0,0,4,,
懈怠耕者經,T 827,891,False,True,False,False,1,0,0,0,0,0,0,,
善生子經,T 17,4160,False,True,False,False,0,0,1,8,0,0,9,,
尸迦羅越六向拜經,T 16,2504,False,False,False,False,0,0,0,2,0,0,4,,
貧窮老公經,T 797,1877,False,True,False,False,2,1,5,7,1,2,6,,
老母經,T 561,1282,False,True,False,False,2,1,2,0,0,0,0,,
負為牛者經,T 154 (39),1107,False,True,False,False,1,0,1,0,0,0,0,,
阿遬達經,T 141,943,False,True,False,False,0,5,0,0,0,0,0,,
樹提伽經,T 540,1566,False,False,False,False,0,2,1,3,2,1,3,,
鞞摩肅經,T 90,2467,False,True,False,False,0,1,1,1,1,0,0,,
那賴經,T 154 (1),1358,False,True,False,False,0,0,2,0,0,3,0,,
大意經,T 177,2803,False,True,False,False,0,1,7,14,0,5,14,,
申日兜本經,T 536,1608,False,True,False,False,0,0,1,5,0,1,3,,
舅甥經,T 154 (12),1650,False,True,False,False,1,1,0,5,0,0,5,,
越難經,T 537,1086,False,True,False,False,0,0,1,3,0,1,3,,
鸚鵡經,T 79,4892,False,True,False,False,0,1,0,0,1,0,0,,
水牛王經,T 154 (30),861,False,True,False,False,0,0,0,1,0,0,1,,
兔王經,T 154 (31),787,False,True,False,False,0,0,0,0,0,0,0,,
拘薩羅國烏王經,T 154 (47),1397,False,True,False,False,2,0,0,1,0,0,1,,
雀王經,T 152 (51),305,False,False,False,False,0,0,0,2,0,0,2,,
孔雀經,T 154 (51),1027,False,True,False,False,0,0,1,4,0,0,4,,
野雞經,T 154 (6),1464,False,True,False,False,1,3,0,2,2,0,2,,
大魚事經,T 216,1003,False,True,False,False,0,1,0,0,1,0,0,,
蠱狐烏經,T 154 (25),827,False,True,False,False,2,0,0,0,0,0,0,,
犢子經,T 808,1094,False,True,False,False,0,1,2,3,0,2,3,"Got a non-integer output from the model for 耶: The character '耶' appears only once in the provided text:

*   `[0754a20] 牛言：「此手捫摸我乳，一何快耶！`

Let's analyze this instance against the given criteria:

1.  **At end of yes or no questions**: A yes or no question (also known as a polar question) is one that can be answered with a simple ""yes"" or ""no"". The phrase ""一何快耶！"" translates to ""How pleasant it is!"" or ""Oh, how pleasant!"". It uses the interrogative pronoun ""何"" (how/what) and functions as an exclamation expressing strong feeling, not a question that can be answered with ""yes"" or ""no"". Therefore, it does not fit this criterion.

2.  **As a final particle at the end of declarative sentences**: A declarative sentence states a fact or an opinion. While ""耶"" is a final particle in this instance, the sentence ""一何快耶！"" is exclamatory or rhetorical in nature, conveying strong emotion, rather than simply declaring a fact or opinion. It is not a standard declarative sentence. Therefore, it does not fit this criterion.

Since the single occurrence of '耶' does not meet either of the specified conditions, the character '耶' appears 0 times under the given criteria.

0
", Should be 0
驢駝經,T 154 (50),1056,False,True,False,False,0,0,0,3,0,0,3,,
猘狗經,T 214,1088,False,False,False,False,0,1,1,1,1,1,1,,
鱉獼猴經,T 154 (10),918,False,True,False,False,0,1,2,0,1,2,0,,
鬼問目連經,T 734,2191,False,True,False,False,0,0,0,0,0,0,0,,
鐵城泥犁經,T 42,2585,False,False,False,False,0,4,2,1,0,1,1,"Got a non-integer output from the model for 耶: The character '耶' appears 4 times in the provided text. Let's analyze each instance based on the given criteria:

1.  **`汝何以不自改為善耶？`** (Line `[0827a30]`)
    *   This is a question: ""Why did you not reform yourself to do good?""
    *   It uses the interrogative phrase '何以' (why), which makes it an open-ended ""why"" question, not a ""yes or no"" question.
    *   It is an interrogative sentence, not a declarative sentence.

2.  **`汝何以不自改為善耶？`** (Line `[0827b05]`)
    *   Same as instance 1. It is a ""why"" question, not a ""yes or no"" question or a declarative sentence.

3.  **`汝見是，何以不自改為善耶？`** (Line `[0827b14]`)
    *   Same as instance 1. It is a ""why"" question, not a ""yes or no"" question or a declarative sentence.

4.  **`汝為人時，何以不正汝行正汝口正汝心耶？`** (Line `[0827b23]`)
    *   Same as instance 1. It is a ""why"" question, not a ""yes or no"" question or a declarative sentence.

In all four cases, '耶' functions as an interrogative particle in a ""why"" question. A ""yes or no question"" is one that can be answered with a simple ""yes"" or ""no"" (e.g., ""Are you hungry?""). A ""why"" question requires an explanation. Therefore, none of these instances are ""yes or no questions"".

Furthermore, none of these instances are ""declarative sentences"" as they all clearly pose a question.

Based on the strict interpretation of the criteria provided, '耶' does not appear at the end of any ""yes or no questions"" nor as a final particle at the end of any ""declarative sentences"" in the given text.

0
", Shoul be 0
泥犁經,T 86,7034,False,True,False,False,0,3,5,4,0,4,4,,
十八泥犁經,T 731,3215,False,False,False,False,0,0,0,1,0,0,2,,
四泥犁經,T 139,894,False,True,False,False,0,0,0,0,0,0,0,,
罪業報應教化地獄經,T 724,3845,True,False,False,False,0,0,0,0,0,0,0,,
鹽王五天使者經,T 43,1569,False,True,False,False,0,6,6,5,6,5,4,,
數經,T 70,2662,False,True,False,False,0,0,2,0,0,0,0,,
時經,T 794a,1131,True,False,False,False,0,0,0,0,0,0,0,,
意經,T 827,1541,False,True,False,True,12,0,0,11,0,0,0,,
罵意經,T 732,9111,False,False,False,False,0,3,17,7,2,7,6,"Got a non-integer output from the model for 耳: The character 耳 is used 7 times as a final particle at the end of declarative sentences in the provided text.

Here are the instances:

1.  [0530b04] 但恐得畜生，從入地獄、餓鬼中**耳**！
2.  [0530b09] 人意有知，恐不啻**耳**！
3.  [0531b18] 畜生亦欲色、聲、香、味、細滑，亦自相與語，但不能如人語**耳**。
4.  [0531c11] 人持戒乃孝順，報父母恩**耳**。
5.  [0531c19] 釜中燒一身**耳**。
6.  [0532a06] 晝日凡三萬六千五百息小完等**耳**。
7.  [0534a09] 世間所有如夢**耳**，夢飯食見好，覺便不見。

7
", Should be 7
法觀經,T 611,3167,False,False,False,False,0,0,7,0,0,1,0,,
身觀經,T 612,1220,False,True,False,False,0,1,0,0,1,0,0,,
伏婬經,T 65,1558,False,True,False,False,0,0,0,0,0,0,0,,
離睡經,T 47,1404,False,True,False,False,0,1,1,0,1,0,0,,
應法經,T 83,2115,False,True,False,False,0,0,0,0,0,0,0,,
樂想經,T 56,554,False,True,False,False,0,0,0,0,0,0,0,,
尊上經,T 77,1919,False,True,False,False,0,14,0,0,0,0,0,,
柔軟經,T 26 (117),1123,False,True,True,False,0,0,0,0,0,0,0,,
處處經,T 730,9561,False,False,False,False,2,1,19,3,1,17,1,,
閑居經,T 154 (13),1062,False,True,False,False,1,0,2,0,0,0,0,,
何苦經,T 26 (148),2156,False,True,True,False,0,7,0,4,8,0,4,,
貧窮經,T 26 (125),1562,False,True,True,False,0,6,0,13,6,0,13,,
求欲經,T 49,5905,False,True,False,False,1,3,8,0,1,0,0,,
