czjj_no,title_zh,taisho_no,attribution,term,term_introduced_by
38,般若道行品經,T 224 (9),Lokakṣema ,生死根,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,覺禪,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,禪,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,定,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,愛欲,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,泥洹,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,薩陀波倫菩薩,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,佛國,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,曇無竭阿祝竭羅佛,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,忉利天,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,天人,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,善男子,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,三十二相,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,八十種好,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,法輪,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,轉,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,方便,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,眼,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,耳,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,鼻,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,身,An Shigao
38,般若道行品經,T 224 (9),Lokakṣema ,心意,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,地水火風,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,有空,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無空,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,釋提桓因,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,十種力,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,四無所畏,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,十八事不共,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,犍陀越國,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,幢幡,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,文陀羅華,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,摩訶文陀羅華,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,曇無竭菩薩,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,六萬三昧門,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無處所三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無恐懼衣毛不起三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,脫諸魔中不恐懼三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,脫於愛欲之本三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,脫出格戰離患三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,不可計向入三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,大海水不可量多慧所入三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,在須彌山功德莊飾三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,五陰六衰無形觀三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,入諸佛界三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉見諸佛三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,菩薩守道三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,諸經法本無形見說三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,珍寶莊飾三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉學珍寶入三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉念諸佛三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,菩薩上高三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,真阿惟越致及法輪為轉三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,莊佛功德三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無瑕穢悉及淨三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,所聞眾事如大海三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無所護無有過三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,樂經音聲遍三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,經法章顯其幡三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,怛薩阿竭身無形入三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,怛薩阿竭,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,諸經法無形遍視三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,菩薩印三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,怛薩阿竭目見三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,照明諸境界佛界所願具足三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,解十方人難三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,臨成佛莊嚴三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,種種雜華異色三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,多珍寶三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,法輪常轉三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,諸音聲遠聞入要三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,入十方人本三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,諸三界悉遍至三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,成諸功德三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,無有能過六波羅蜜三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,外道,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,羅網,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,怛薩阿竭現飛三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,不可復計功德度莊嚴三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,諸珍寶智慧功德三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,薩芸若地三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉淨因三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉遍照三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,悉入十方人生死之根智慧出中三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,過去當來今現在悉等三昧,Lokakṣema 
38,般若道行品經,T 224 (9),Lokakṣema ,經,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,三藏,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,菩薩,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,般若波羅蜜,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,經法,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,弊魔,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛道,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,精進,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,度脫,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,釋提桓因,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,供養,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,遶三匝,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,怛薩阿竭,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿羅漢,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,泥洹,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,空,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,無所生,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,般泥洹,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,須彌山,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,識,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,地,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,水,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,火,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,風,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,色,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,痛痒,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,思想,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,生死,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,欲,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,無想,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,願,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,無願,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿須倫,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,龍,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,鬼神,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,揵陀羅,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,迦留勒,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,甄陀羅,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,摩睺勒,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,羅剎,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,鳩垣,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,薜荔,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,泥犁,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,須陀洹,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,斯陀含,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿那含,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,辟支佛,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,四意止,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,四意斷,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,五根,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,五力,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,七覺意,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,八道,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,十種力,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,四無所畏,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛經,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,宿命,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,展轉生死,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿惟越致,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,三昧門,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,願樂三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,威儀三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,勸德三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,月盛滿三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,日光焰三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,怛薩阿竭行三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,悉念佛三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,菩薩所生三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,樂智慧三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,度脫堅住三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,諸境界中無所住三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,國土種種嚴入三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,怛薩阿竭相無相入三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,十方人無形印封三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,怛薩阿竭出坐三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,無所畏樂三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,棄捐珍寶三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,怛薩阿竭力莊嚴三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,諸經法悉明樂三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,說無所從來解事三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,淨如梵人三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,過去、當來、今現在悉等入三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,本端當來端無所住三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,莊嚴佛藏三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛音聲響悉成三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,因緣,An Shigao
38,般若道行品經,T 224 (10),Lokakṣema ,菩薩行,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛身,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,六波羅蜜行,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,曉知本無,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,降伏於魔,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,梵人,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿迦膩吒天上,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,八惡處,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,禪三昧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,婬怒癡,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛境界,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,陀隣尼法,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,威神,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,囑累,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,經藏,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,佛天中天,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿耨多羅三耶三菩,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,阿惟三佛慧,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,耆闍崛山,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,羅閱祇,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,文陀羅華,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,曼殊顏華,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,摩訶曼殊顏華,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,道行般若經,Lokakṣema 
38,般若道行品經,T 224 (10),Lokakṣema ,摩訶,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,般舟三昧經,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,般舟三昧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,十方現在佛悉在前立定經,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,三藏,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,佛,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,羅閱祇,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩訶桓迦憐,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩訶比丘僧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,比丘僧,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿羅漢,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿難,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,颰陀和,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,五戒,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,沙門,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,作禮,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,威神,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,比丘尼,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,羅憐那竭菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,舍衛,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,墮梨大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,橋曰兜菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,占波大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,那羅達菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,彼羅斯大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,須深菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,加羅衛大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩訶須薩和菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿難邠坻迦羅越,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,迦羅越,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,因坻達菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,鳩睒彌大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,和輪調菩薩,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,沙祇大國,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿闍世,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,四天王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,釋提桓因,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,梵三鉢摩夷亘天,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,梵,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿迦貳吒天,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,天子,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,龍王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,難頭和難龍王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,沙竭龍王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩難斯龍王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿耨達龍王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿須倫王,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿羞倫民,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,優婆塞,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,優婆夷,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,閱叉鬼神,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,迦樓羅鬼神,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,甄多羅鬼神,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩睺勒鬼神,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,人非人,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,天中天,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,三昧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,智慧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,須彌山,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,人中之將,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,成佛,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,愚癡,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,慈哀,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,禪,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,定,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,空,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,無想,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,無所著,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,功德,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,根力,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,薩芸若,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,清淨,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,五蓋,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,境界,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,莊嚴諸國土,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,辟支佛,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,佛剎,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,幻師,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,陀憐尼門,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,猛師子,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,三處,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,欲處,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,色處,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,無想處,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,怛薩阿竭,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,泥洹,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,偈,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿彌陀佛,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,須摩提,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,定意,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,黠,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,善知識,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,惡知識,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,飯知足,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,習等意,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,悲意,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,棄蓋習禪,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,色,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,陰,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,四大,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,不淨,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,犯戒,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,疑法,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,諍佛,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,却法,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,亂比丘僧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,妄語,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,道德家,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,癡人,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,十惡,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,十善,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,九惱,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,八精進,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,八懈怠,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,八便,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,九思,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,八道家念,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,貢高,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,自大,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,生死,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,賊,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,蛇,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,三界,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,無為,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,貪欲,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,不退轉地,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,無上正真道,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,善覺,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,三十二相,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,痛痒,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,思想,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,識,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,空三昧,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,摩訶迦葉,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,須真天子,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,空定,An Shigao
40,般舟般三昧經,T 418 (1),Lokakṣema ,須波日,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,無所從生法樂,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,阿惟越致,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,觀死人骨,Lokakṣema 
40,般舟般三昧經,T 418 (1),Lokakṣema ,佛力,Lokakṣema 
